ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment
anat1259-GB123-1,anat1259,göz at,göz\tat,eye\tthrow,have a look,,
anat1259-GB127-1,anat1259,kitap masa-da,kitap\tmasa-da,book\ttable-LOC,The book is on the table.,,
anat1259-GB133-1,anat1259,ben kitab-ï oku-du-m,ben\tkitab-ï\toku-du-m,1SG\tbook-ACC\tread-PST-1SG,I read the book.,,
anat1259-GB135-1,anat1259,ben kitab-ï oku-du-m,ben\tkitab-ï\toku-du-m,1SG\tbook-ACC\tread-PST-1SG,I read the book.,,
anat1259-GB135-2,anat1259,herkes sen sinema-ya git-ti-n san-їyor,herkes\tsen\tsinema-ya\tgit-ti-n\tsan-їyor,everybody\t2SG\tcinema-DAT\tgo-PST-2SG\tbelieve-PRS.PROG,Everybody believes that you went to the movies.,,
anat1259-GB135-3,anat1259,isti-yor-um ki yarїn ben-im-le sinema-ya gel-esin,isti-yor-um\tki\tyarїn\tben-im-le\tsinema-ya\tgel-esin,want-PRS.PROG-1SG\tCOMP\ttomorrow\t1SG-GEN-with\tcinema-DAT\tcome-2SG.OPT,I want you to come to the movies with me tomorrow.,,
anat1259-GB137-1,anat1259,Hasan kitab-ï oku-ma-dï,Hasan\tkitab-ï\toku-ma-dï,Hasan\tbook-ACC\tread-NEG-PST,Hasan didnt read the book.,,
anat1259-GB139-1,anat1259,Hasan kitab-ï oku-ma-dï,Hasan\tkitab-ï\toku-ma-dï,Hasan\tbook-ACC\tread-NEG-PST,Hasan didnt read the book.,,
anat1259-GB139-2,anat1259,oku-ma-yïn,oku-ma-yïn,read-NEG-2PL.IMP,don't read! (2PL),,
anat1259-GB140-1,anat1259,(ben) hasta deγil-im,(ben)\thasta\tdeγil-im,(1SG)\tsick\tNEG.COP-1SG,(I) am not sick.,,
anat1259-GB140-2,anat1259,ben ev-de yok-tu-m,ben\tev-de\tyok-tu-m,1SG\thome-LOC\tNEG.EXIST-PST-1SG,I was not at home.,,
anat1259-GB140-3,anat1259,hasan kitab-ï oku-ma-dï,hasan\tkitab-ï\toku-ma-dï,Hasan\tbook-ACC\tread-NEG-PST,Hasan didnt read the book.,,
anat1259-GB146-1,anat1259,Ahmet-in sinema-ya yalnïz bašïna git-me-si ben-i čok üz-dü,Ahmet-in\tsinema-ya\tyalnïz\tbašïna\tgit-me-si\tben-i\tčok\tüz-dü,Ahmet-GEN\tcinema-DAT\talone\tin\tgo-NMLZ-3SG\t1SG-ACC\tvery\tsadden-PST,That Ahmet went to the movies on himself made me very sad.,,
anat1259-GB159-1,anat1259,demet demet čiček-ler,demet\tdemet\tčiček-ler,bunch\tbunch\tflower-PL,bunches and bunches of flowers,,
anat1259-GB160-1,anat1259,bom-boš,bom-boš,empty~INTENS,totally empty,,
anat1259-GB185-1,anat1259,bu kitap-lar,bu\tkitap-lar,this\tbook-PL,these books,,
anat1259-GB204-1,anat1259,bütün,bütün,all,all,,
anat1259-GB204-2,anat1259,her,her,every,every,,
anat1259-GB254-1,anat1259,Hasan-ïn čok eski bir kitabï var,Hasan-ïn\tčok\teski\tbir\tkitabï\tvar,Hasan-GEN\tvery\told\ta\tbook\texist,Hasan has a very old book.,,
anat1259-GB264-1,anat1259,kitab-ï hasan mï Ali-ye ver-di,kitab-ï\thasan\tmï\tAli-ye\tver-di,book-ACC\tHasan\tQ\tAli-DAT\tgive-PST,Did Hasan give the book to Ali?,,
anat1259-GB266-1,anat1259,sen ben-den iyi bir insan-sin,sen\tben-den\tiyi\tbir\tinsan-sin,2SG\t1SG-ABL\tgood\ta\tperson-2SG,You are a better person than me.,,
anat1259-GB276-1,anat1259,sen ben-den daha iyi bir insan-sїn,sen\tben-den\tdaha\tiyi\tbir\tinsan-sїn,2SG\t1SG-ABL\tmore\tgood\tone\tperson-2SG,You are a better person than me.,,
anat1259-GB306-1,anat1259,birbir-imiz e. o. -l.pl.,birbir-imiz\te.\to.\t-l.pl.,,our each other,,
anat1259-GB325-1,anat1259,cač,cač,how.many,how many,,
anat1259-GB325-2,anat1259,ne kadar,ne\tkadar,,how much,,
anat1259-GB408-1,anat1259,ben kitab-ï oku-du-m,ben\tkitab-ï\toku-du-m,1SG\tbook-ACC\tread-PST-1SG,I read the book.,,
anat1259-GB410-1,anat1259,ben bir kitab oku-du-m,ben\tbir\tkitab\toku-du-m,1SG\ta\tbook\tread-PST-1SG,I read a book.,,
anat1259-GB432-1,anat1259,hasan-ïn kitab-ïn,hasan-ïn\tkitab-ïn,Hasan-GEN\tbook-3SG,Hasans book,,
anat1259-GB433-1,anat1259,hasan-ïn kitab-ïn,hasan-ïn\tkitab-ïn,Hasan-GEN\tbook-3SG,Hasans book,,
anat1259-GB522-1,anat1259,(ben) ev-de yok-tu-m,(ben)\tev-de\tyok-tu-m,(1SG)\thome-LOC\tNEG.EXIST-PST-1SG,I was not at home.,,
anat1259-TE018-1,anat1259,ben,ben,1SG,I,,
anat1259-TE018-2,anat1259,sen,sen,2SG,you,,
anat1259-TE019-1,anat1259,o,o,3SG.NOM,he,,
anat1259-TE019-2,anat1259,on-a,on-a,3SG-DAT,to him/her,,
anat1259-TE027-1,anat1259,biz-ler,biz-ler,1PL-PL,we,,
anat1259-TE050-1,anat1259,beš öγrenǰi,beš\töγrenǰi,five\tstudent,five students,,
anat1259-TE053-1,anat1259,hasan kitab-ï ali-ye ver-di,hasan\tkitab-ï\tali-ye\tver-di,Hasan\tbook-ACC\tAli-DAT\tgive-PST,Hasan gave the book to Ali.,,
anat1259-TE053-2,anat1259,kitap masa-da,kitap\tmasa-da,book\ttable-LOC,The book is on the table.,,
anat1259-TE054-1,anat1259,bu kitab-ï kim oku-da,bu\tkitab-ï\tkim\toku-da,this\tbook-ACC\twho\tread-PST,Who read this book?,,
anat1259-TE054-2,anat1259,kitab-ï hasan mï Ali-ye ver-di,kitab-ï\thasan\tmï\tAli-ye\tver-di,book-ACC\tHasan\tQ\tAli-DAT\tgive-PST,Did Hasan give the book to Ali?,,
anat1259-TE066-1,anat1259,git,git,go,go,,
anat1259-TE066-2,anat1259,git-mek,git-mek,go-INF,to go,,
anat1259-TS005-1,anat1259,hasan-ïn kitab-ïn,hasan-ïn\tkitab-ïn,Hasan-GEN\tbook-3SG,Hasans book,,
anat1259-TS006-1,anat1259,hasan-ïn kitab-ïn,hasan-ïn\tkitab-ïn,Hasan-GEN\tbook-3SG,Hasans book,,
anat1259-TS080-1,anat1259,čoǰuγ-u,čoǰuγ-u,child-ACC,,,
anat1259-TS080-2,anat1259,göl-ü,göl-ü,lake-ACC,lake,,
bash1264-GB035-1,bash1264,bїl,bїl,this,this,,
bash1264-GB035-2,bash1264,šul,šul,that,that,,
bash1264-GB046-1,bash1264,γärifulla-lar,γärifulla-lar,Garifulla-PL,Garifulla and his family,,
bash1264-GB047-1,bash1264,yaha-j,yaha-j,make-NMLZ,making,,
bash1264-GB048-1,bash1264,ḳotḳarїu-sї,ḳotḳarїu-sї,save-NMLZ,savior,,
bash1264-GB048-2,bash1264,uḳїu-sї ,uḳїu-sї,read-NMLZ,reader,,
bash1264-GB049-1,bash1264,hїðїn-tї,hїðїn-tї,draw-NMLZ,sketch,,
bash1264-GB059-1,bash1264,arḳa-m,arḳa-m,back-1SG,my back,,
bash1264-GB059-2,bash1264,at-їm,at-їm,horse-1SG,my horse,,
bash1264-GB059-3,bash1264,bala-m,bala-m,child-1SG,my child,,
bash1264-GB059-4,bash1264,bala-ŋ,bala-ŋ,daughter-2SG,your child,,
bash1264-GB059-5,bash1264,baš-їŋ,baš-їŋ,head-2SG,your head,,
bash1264-GB059-6,bash1264,jöð-öm,jöð-öm,face-1SG,my face,,
bash1264-GB059-7,bash1264,öj-öböð,öj-öböð,house-1PL,our house,,
bash1264-GB059-8,bash1264,ul-darї,ul-darї,son-3PL,their son,,
bash1264-GB068-1,bash1264,kän jїlї,kän\tjїlї,day\twarm,The day is warm.,,
bash1264-GB068-2,bash1264,šulaj ða höjkömlö-lär,šulaj\tða\thöjkömlö-lär,so\talso\tcute-PL,But they are so cute.,,
bash1264-GB069-1,bash1264,elbäðäk ḳar,elbäðäk\tḳar,fluffy\tsnow,fluffy snow,,
bash1264-GB070-1,bash1264,šabata-nї babaj baðar-ʀa iltep hata.,šabata-nї\tbabaj\tbaðar-ʀa\tiltep\thata.,shoes-ACC\told.man\tmarket-DAT\tbring.3SG\tsell.3SG,An man brings the shoes to the market and sells them.,,
bash1264-GB072-1,bash1264,duθ-ḳa säläm,duθ-ḳa\tsäläm,friend-DAT\tgreeting,a greeting to the friend,,
bash1264-GB083-1,bash1264,al-dї-m,al-dї-m,take-PST.INDEF-1SG,I took (it).,,
bash1264-GB083-2,bash1264,al-γan-mїn,al-γan-mїn,take-PST.DEF-1SG,It appears that I took (it).,,
bash1264-GB095-1,bash1264,ɑtajїŋ-dї bœgœn kitε tineler,ɑtajїŋ-dї\tbœgœn\tkitε\ttineler,father.2SG-ACC\ttoday\tgo\tsay.PST.3PL,They said your father is leaving today.,,
bash1264-GB095-2,bash1264,šabata-nї babaj baDar-ʀa iltep hata.,šabata-nї\tbabaj\tbaDar-ʀa\tiltep\thata.,shoes-ACC\told.man\tmarket-DAT\tcarry.3SG\tsell.3SG,An man brings the shoes to the market and sells them.,,
bash1264-GB107-1,bash1264,min unї kyr-mä-ne-m,min\tunї\tkyr-mä-ne-m,1SG\t3SG\tsee-NEG-PST-1SG,I didnt see him.,,
bash1264-GB107-2,bash1264,yaha-ma-nї-m,yaha-ma-nї-m,make-NEG-PST-1SG,I did not make it.,,
bash1264-GB113-1,bash1264,bo-tor,bo-tor,be.over-CAUS,to finish,,
bash1264-GB117-1,bash1264,-dїr,-dїr,3SG,he/she,,and allomorphs: -dor/-der/-dör/-tїr etc. /-ðїr etc. /-lїr etc.
bash1264-GB117-2,bash1264,-hїŋ,-hїŋ,2SG,you,,and allomorphs: -hoŋ/-heŋ/-höŋ
bash1264-GB117-3,bash1264,-mїn,-mїn,1SG,my,,and allomorphs: -mon/-men/-mön
bash1264-GB119-1,bash1264,bara al-ma-nї-m,bara\tal-ma-nї-m,go\tbe.able-NEG-PST-1SG,I couldnt go.,,
bash1264-GB137-1,bash1264,min unї kyr-mä-ne-m,min\tunї\tkyr-mä-ne-m,1SG\t3SG\tsee-NEG-PST-1SG,‘I didn’t see him.’,,
bash1264-GB137-2,bash1264,min unї kyr-mä-ne-m,min\tunї\tkyr-mä-ne-m,1SG\t3SG\tsee-NEG-PST-1SG,I didnt see him.,,
bash1264-GB139-1,bash1264,min unї kyr-mä-ne-m,min\tunї\tkyr-mä-ne-m,1SG\t3SG\tsee-NEG-PST-1SG,I didnt see him.,,
bash1264-GB139-2,bash1264,bar-ma,bar-ma,go-NEG,Don't go!,,
bash1264-GB140-1,bash1264,min jaðїusї tygel-men,min\tjaðїusї\ttygel-men,1SG\twriter\tNEG-1SG,I am not a writer.,,
bash1264-GB140-2,bash1264,min unї kyr-mä-ne-m,min\tunї\tkyr-mä-ne-m,1SG\t3SG\tsee-NEG-PST-1SG,I didnt see him.,,
bash1264-GB147-1,bash1264,al-їn,al-їn,take-PASS,to be taken,,
bash1264-GB152-1,bash1264,yaha-γansї,yaha-γansї,,before making,,
bash1264-GB160-1,bash1264,að-mað,að-mað,little~INT,not much,,
bash1264-GB160-2,bash1264,aḳhaḳ-tuḳhaḳ,aḳhaḳ-tuḳhaḳ,,various disabled people,,
bash1264-GB160-3,bash1264,aγas-maγas,aγas-maγas,tree~various,various trees,,
bash1264-GB160-4,bash1264,iθke-moθko,iθke-moθko,trash~DIST,various trash,,
bash1264-GB160-5,bash1264,šau-šїu,šau-šїu,noise,noise,,
bash1264-GB187-1,bash1264,tau-sїḳ,tau-sїḳ,mountain-DIM,little mountain,,
bash1264-GB204-1,bash1264,barї,barї,all,all,,
bash1264-GB204-2,bash1264,botä,botä,all,all,,
bash1264-GB204-3,bash1264,häp,häp,every,every,,
bash1264-GB204-4,bash1264,häp ber,häp\tber,,every,,
bash1264-GB204-5,bash1264,häp kem,häp\tkem,,every,,
bash1264-GB204-6,bash1264,hεmmε,hεmmε,all,all,,
bash1264-GB204-7,bash1264,köllö,köllö,all,all,,
bash1264-GB252-1,bash1264,min-dä at juk,min-dä\tat\tjuk,1SG-LOC\thorse\tNEG,I have no horse.,,
bash1264-GB254-1,bash1264,mineŋ kitab-їm bar,mineŋ\tkitab-їm\tbar,1SG\tbook-1SG\texist,I have a book./ There is my book./My book exists.,,
bash1264-GB263-1,bash1264,hin teatr-ða buldyŋmї-ni,hin\tteatr-ða\tbuldyŋmї-ni,2SG\ttheatre-LOC\t??-Q,Were you in the theatre?,,
bash1264-GB266-1,bash1264,aγiðel ðim-dän oðono-raḳ,aγiðel\tðim-dän\toðono-raḳ,Agidel\tDema-ABL\thigh-COMP,Agidel is higher than Dema.,,
bash1264-GB275-1,bash1264,aγiðel ðim-dän oðono-raḳ,aγiðel\tðim-dän\toðono-raḳ,Agidel\tDema-ABL\thigh-COMP,Agidel is higher than Dema.,,
bash1264-GB298-1,bash1264,min jaðїusї tügel-men,min\tjaðїusї\ttügel-men,1SG\twriter\tNEG-1SG,I am not a writer.,,
bash1264-GB301-1,bash1264,šabir menεn Mεxmεt ɵф-gε kittelεr,šabir\tmenεn\tMεxmεt\tɵф-gε\tkittelεr,Sabir\twith\tMahmut\tUfa-DAT\tgo.PST.PL,Mahmut went together with Sabir to Ufa.,,
bash1264-GB313-1,bash1264,human huneke,human\thuneke,book\tyour,your book,,
bash1264-GB313-2,bash1264,mineŋ at-їm bik jakšї,mineŋ\tat-їm\tbik\tjakšї,1SG\thorse-1SG\tvery\tgood,My horse is very good.,,
bash1264-GB325-1,bash1264,nisε,nisε,,how many,,
bash1264-GB325-2,bash1264,nisε,nisε,,how much,,
bash1264-GB409-1,bash1264,atajїŋ-dї bögön kitε tineler,atajїŋ-dї\tbögön\tkitε\ttineler,father.2SG-ACC\ttoday\tgo\tsay.PST.3PL,They said your father is leaving today.,,
bash1264-GB409-2,bash1264,šabata-nї babaj baðar-ʀa iltep hata,šabata-nї\tbabaj\tbaðar-ʀa\tiltep\thata,shoes-ACC\told.man\tmarket-DAT\tcarry.3SG\tsell.3SG,An man brings the shoes to the market and sells them.,,
bash1264-GB432-1,bash1264,min-en at-їm,min-en\tat-їm,1SG-GEN\thorse-1SG,my horse,,
bash1264-GB433-1,bash1264,min-en at-їm,min-en\tat-їm,1SG-GEN\thorse-1SG,my horse,,
bash1264-TE003-1,bash1264,un kön,un\tkön,ten\tday,ten days,,
bash1264-TE005-1,bash1264,bїl uram,bїl\turam,this\tstreet,this street,,
bash1264-TE007-1,bash1264,min-en at-їm,min-en\tat-їm,1SG-GEN\thorse-1SG,my horse,,
bash1264-TE008-1,bash1264,ul-darї,ul-darї,son-3PL,their son,,
bash1264-TE031-1,bash1264,taŋ,taŋ,dawn,morning dawn,,
bash1264-TE050-1,bash1264,un kön,un\tkön,10\tday,ten days,,
bash1264-TE053-1,bash1264,at-ḳa,at-ḳa,horse-DAT,to the horse,,
bash1264-TE053-2,bash1264,at-ta,at-ta,horse-LOC,at the horse,,
bash1264-TS001-1,bash1264,un kön,un\tkön,ten\tday,ten days,,
bash1264-TS003-1,bash1264,bїl uram,bїl\turam,this\tstreet,this street,,
bash1264-TS005-1,bash1264,min-en at-їm,min-en\tat-їm,1SG-GEN\thorse-1SG,my horse,,
bash1264-TS006-1,bash1264,ul-darї,ul-darї,son-3PL,their son,,
bash1264-TS007-1,bash1264,homγol eget,homγol\teget,slim\tguy,slim guy,,
bash1264-TS007-2,bash1264,yelbäðäk qar,yelbäðäk\tqar,fluffy\tsnow,fluffy snow,,
berj1234-GB027-1,berj1234,bi: ısag-la hor-ri-w omettu eńi-nun,bi:\tısag-la\thor-ri-w\tomettu\teńi-nun,1SG\tforest-LOC\tgo-PST-1SG\ttogether\tmother-COM,I went to the forest with my mother.,,
berj1234-GB028-1,berj1234,bu:,bu:,1PL.EXCL,we,,
berj1234-GB028-2,berj1234,mut,mut,1PL.INCL,we,,
berj1234-GB035-1,berj1234,erek,erek,this,this,,
berj1234-GB035-2,berj1234,tarak,tarak,that,that,,
berj1234-GB044-1,berj1234,asa-l,asa-l,woman-PL,women,,
berj1234-GB044-2,berj1234,asi,asi,woman,woman,,
berj1234-GB059-1,berj1234,bi: ası-ŋ-ı gelel-re-m,bi:\tası-ŋ-ı\tgelel-re-m,1SG\twife-ALIEN\tmiss-NONFUT-1SG,I miss my wife.,,
berj1234-GB072-1,berj1234,bi: berjozovka-dʊk em-ri-w,bi:\tberjozovka-dʊk\tem-ri-w,1SG\tBeryozovka-ABL\tcome-PST-1SG,I came from Beryozovka.,,
berj1234-GB082-1,berj1234,eńin-ti alač-ı-d-da-n mut-u,eńin-ti\talač-ı-d-da-n\tmut-u,mother-1PL.POSS\twait-PROG-NONFUT-3SG\t1PL.INCL-ACC,Mother is waiting for us.,,
berj1234-GB083-1,berj1234,mʊran ɔŋka-rı-n-a hajta-w,mʊran\tɔŋka-rı-n-a\thajta-w,horse\tfeed-PST-3SG-Q\tgrass-ACC,Did the horses eat grass?,,
berj1234-GB084-1,berj1234,bi: hinńun hor-dži-m,bi:\thinńun\thor-dži-m,1SG\t2SG.COM\tgo-FUT-1SG,I will go with you.,,
berj1234-GB086-1,berj1234,tińiw ʊdan-džıd-dı-n,tińiw\tʊdan-džıd-dı-n,yesterday\train-PROG-PST-3SG,It was raining yesterday.,,
berj1234-GB089-1,berj1234,mʊran tiba:-d-da-n,mʊran\ttiba:-d-da-n,horse\tgallop-PROG-NONFUT-3SG,The horse runs.,,
berj1234-GB091-1,berj1234,bi: eńin-di kińige-w taŋ-rı-w,bi:\teńin-di\tkińige-w\ttaŋ-rı-w,1SG\tmother-DAT\tbook-ACC\tread-PST-1SG,I read a book for my mother.,,
berj1234-GB105-1,berj1234,tugeńi-du jakutskaj-la ho:ja ımanra,tugeńi-du\tjakutskaj-la\tho:ja\tımanra,winter-DAT\tYakutsk-LOC\tmany\tsnow,It snows heavily in Yakutsk in winter.,,
berj1234-GB107-1,berj1234,erew ineŋu nɔŋan e-te:-n škola-tkı hor-re,erew\tineŋu\tnɔŋan\te-te:-n\tškola-tkı\thor-re,this\tday\t3SG\tNEG-FUT-3SG\tschool-DIR\tgo-NEG,He does not go to school today.,,
berj1234-GB107-2,berj1234,jʊ:-tki-j ŋeb-ed-ńiken ŋi:-w-de e-č-u bak-alda-r,jʊ:-tki-j\tŋeb-ed-ńiken\tŋi:-w-de\te-č-u\tbak-alda-r,house-DIR-REFL\tgo-PROG-SIM\twho-ACC-NEG\tNEG-PST-1SG\tfind-SOC-NEG,I saw no one on the way back home.,,
berj1234-GB108-1,berj1234,nan gasči-na-ri-n akan-taki-n ašatka-m,nan\tgasči-na-ri-n\takan-taki-n\tašatka-m,and\task.for-AM-PST-3SG\tfather-ALL-POSS.3SG\tgirl-ACC,And he went to the girls father to ask for her (hand in marriage).,,
berj1234-GB113-1,berj1234,eńe min no:-wu škola-tkı hor-uken-i-n,eńe\tmin\tno:-wu\tškola-tkı\thor-uken-i-n,mother\tmy\tbrother-ACC\tschool-DIR\tgo-CAUS-?-3SG,My mother made my younger brother go to school.,,
berj1234-GB115-1,berj1234,mut ińin-ńiken ukčen-meč-id-di-t,mut\tińin-ńiken\tukčen-meč-id-di-t,1PL.INCL\tlaugh-SIM\ttell-RECIP-PROG-PST-1PL.INCL,We talked while laughing.,,
berj1234-GB115-2,berj1234,ukčen-meč-i-d-di-t,ukčen-meč-i-d-di-t,tell-RECIP-PROG-PST-1PL.INCL,We were talking to each other.,,
berj1234-GB117-1,berj1234,nɔŋan e-š-ni hagdı bi-s,nɔŋan\te-š-ni\thagdı\tbi-s,3SG\tNEG-NONFUT-3SG\told\tbe-NEG,He is not an adult.,,
berj1234-GB126-1,berj1234,taz-ikla mo: bi-s-ńi,taz-ikla\tmo:\tbi-s-ńi,basin-DIR.LOC\twater\tbe-NONFUT-3SG,Is there water in the washbasin?,,
berj1234-GB133-1,berj1234,bi: eńin-di kińige-w taŋ-rı-w,bi:\teńin-di\tkińige-w\ttaŋ-rı-w,1SG\tmother-DAT\tbook-ACC\tread-PST-1SG,I read a book for my mother.,,
berj1234-GB133-2,berj1234,bujusemŋe mʊrʊkam hepken-in,bujusemŋe\tmʊrʊkam\thepken-in,hunter\thare.ACC\tcatch-PST,A hunter caught a hare.,,
berj1234-GB134-1,berj1234,ammʊ hor-če-le-n em-ri-n eńi-mu,ammʊ\thor-če-le-n\tem-ri-n\teńi-mu,father-1SG\tgo-PST.PTCP-LOC-3SG\tcome-PST-3SG\tmother-1SG,Mother came after father had left.,,
berj1234-GB137-1,berj1234,ere-w ha:-ri omen-de hupkutti a:čča,ere-w\tha:-ri\tomen-de\thupkutti\ta:čča,this-ACC\tknow-NONFUT.PTCP\tone-NEG\tstudent\tNEG,No pupil ever knows this.,,
berj1234-GB140-1,berj1234,bi: e-se-m studžen bi-s,bi:\te-se-m\tstudžen\tbi-s,1SG\tNEG-NONFUT-1SG\tstudent\tbe-NEG,I am not a pupil.,,
berj1234-GB140-2,berj1234,bu: hun-u e-te:-ru bagʊ-r,bu:\thun-u\te-te:-ru\tbagʊ-r,1PL.EXCL\t2PL-ACC\tNEG-FUT-1PL.EXCL\tbeat-NEG,We will not beat you.,,
berj1234-GB140-3,berj1234,nɔŋan meŋeŋ-en a:čča,nɔŋan\tmeŋeŋ-en\ta:čča,3SG\tmoney.ALIEN-3SG\tNEG,He has no money.,,
berj1234-GB147-1,berj1234,erek džʊ: gjaganʊ ɔ:-p-tı-n,erek\tdžʊ:\tgjaganʊ\tɔ:-p-tı-n,this\thouse\tlast.year\tmake-PASS-PST-3SG,This is a house which was built last year.,,
berj1234-GB152-1,berj1234,mut ińin-ńiken ukčen-meč-id-di-t,mut\tińin-ńiken\tukčen-meč-id-di-t,1PL.INCL\tlaugh-SIM\ttell-RECIP-PROG-PST-1PL.INCL,We talked while laughing.,,
berj1234-GB155-1,berj1234,aki-mı hepke-mken-iw kurica-w,aki-mı\thepke-mken-iw\tkurica-w,brother-REFL\tcatch-CAUS-1SG\tchicken-ACC,I made my younger brother butcher a chicken.,,
berj1234-GB185-1,berj1234,erek kuŋa jasa-l-a-n,erek\tkuŋa\tjasa-l-a-n,this\tchild\teye-PL-?-3SG.POSS,this childs eyes,,
berj1234-GB187-1,berj1234,hupkutti-ken,hupkutti-ken,schoolboy-DIM,a young pupil,,
berj1234-GB257-1,berj1234,taz-ikla mo: bi-s-ńi,taz-ikla\tmo:\tbi-s-ńi,basin-DIR.LOC\twater\tbe-NONFUT-3SG,Is there water in the washbasin?,,
berj1234-GB263-1,berj1234,ejumku-suken bi-s-ń-gʊ,ejumku-suken\tbi-s-ń-gʊ,cheap-EMP\tbe-NONFUT-3SG-Q,Do you have a cheaper one?,,
berj1234-GB263-2,berj1234,hu: ile čeŋet-ne-dži-s nam-tkakı gʊ bırakčan-takı gʊ,hu:\tile\tčeŋet-ne-dži-s\tnam-tkakı\tgʊ\tbırakčan-takı\tgʊ,2PL\twhere\tfish-DIR-FUT-2PL\tsea-DIR\tQ\triver-DIR\tQ,Do you go to the river or sea to catch fishes?,,
berj1234-GB266-1,berj1234,erek toŋer egdže-dmer ta-dʊk toŋer-dʊk,erek\ttoŋer\tegdže-dmer\tta-dʊk\ttoŋer-dʊk,this\tlake\tbig-EMP\tthat-ABL\tlake-ABL,This lake is bigger than that lake.,,
berj1234-GB275-1,berj1234,erek toŋer egdže-dmer ta-dʊk toŋer-dʊk,erek\ttoŋer\tegdže-dmer\tta-dʊk\ttoŋer-dʊk,this\tlake\tbig-EMP\tthat-ABL\tlake-ABL,This lake is bigger than that lake.,,
berj1234-GB286-1,berj1234,ulre-ŋ-ur borıt-mat-tı-san-ɨ,ulre-ŋ-ur\tborıt-mat-tı-san-ɨ,meat-ALIEN-REFL.PL\tdivide-RECIP-PST-2PL-Q,Did you divide the meat?,,
berj1234-GB298-1,berj1234,jʊ:-tki-j ŋeb-ed-ńiken ŋi:-w-de e-č-u bak-alda-r,jʊ:-tki-j\tŋeb-ed-ńiken\tŋi:-w-de\te-č-u\tbak-alda-r,house-DIR-REFL\tgo-PROG-SIM\twho-ACC-NEG\tNEG-PST-1SG\tfind-SOC-NEG,I saw no one on the way back home.,,
