Grambank ID	Feature	Possible Values	Value	Source	Comment	Detailed comment	Example
GB082	Is there overt morphological marking of present tense on verbs?	1: present, 0: absent	1	Baskakov (1975:200)		-dïr/-dir, -ir (not productive), -ča/-če, -čadïr/-čedir	
GB083	Is there overt morphological marking on the verb dedicated to past tense?	1: present, 0: absent	1	Baskakov (1975:207-211)		"recent past -dï/-di/-tï/-ti
indefinite past -Ɣan/-gen
simple past -Ǯaŋ/-Ǯeŋ (repetitive action)
definite past -čatXan/-četken"	
GB084	Is there overt morphological marking on the verb dedicated to future tense?	1: present, 0: absent	1	Baskakov (1975:227)		-ar/-er	
GB086	Is a morphological distinction between perfective and imperfective aspect available on verbs?	1: present, 0: absent	1	Baskakov (1975:184)	the verb ïs- lost its lexical meaning and acquired allomorphs, it is treated as a suffix by most works on Khakas		"sana-bïs
count-PFV
‘to count’"
GB089	Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?	1: present, 0: absent	1	Baskakov (1975:187)			
GB090	Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?	1: present, 0: absent	0	Baskakov (1975:187)			
GB091	Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?	1: present, 0: absent	1	Baskakov (1975:187)			
GB092	Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?	1: present, 0: absent	0	Baskakov (1975:187)			
GB093	Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?	1: present, 0: absent	0	Baskakov (1975:187)			
GB094	Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?	1: present, 0: absent	0	Baskakov (1975:187)			
GB095	Are variations in marking strategies of core participants based on TAM distinctions?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB096	Are variations in marking strategies of core participants based on verb classes?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB098	Are variations in marking strategies of core participants based on person distinctions?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB099	Can verb stems alter according to the person of a core participant?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB103	Is there a benefactive applicative marker on the verb (including indexing)?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB104	Is there an instrumental applicative marker on the verb (including indexing)?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB105	Can the recipient in a ditransitive construction be marked like the monotransitive patient?	1: present, 0: absent	0	Baskakov (1975:69-71)			
GB107	Can standard negation be marked by an affix, clitic or modification of the verb?	1: present, 0: absent	1	Baskakov (1975:174, 208)		"-pasXa/-peske/-masXa/-meske
-ba/-be/-pa/-pe/-ma/-me"	"in-meske
go.down-NEG
‘not to go down’
sana-ba-dï-m
count-NEG-PST.REC-1SG
‘I didn’t count (recently).’"
GB108	Is there directional or locative morphological marking on verbs?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB109	Is there verb suppletion for participant number?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB110	Is there verb suppletion for tense or aspect?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB111	Are there conjugation classes?	1: present, 0: absent	?	Baskakov (1975:1-413)	Not mentioned.		
GB113	Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?	1: present, 0: absent	1	Baskakov (1975:179-181)		-tïr and allomorphs	"tur-Ɣïs
stand-CAUS
‘to put’"
GB114	Is there a phonologically bound reflexive marker on the verb?	1: present, 0: absent	1	Baskakov (1975:175-177)		-ïn/-in/-n	"Xïr-ïn
shave-REFL
‘to shave oneself’"
GB115	Is there a phonologically bound reciprocal marker on the verb?	1: present, 0: absent	1	Baskakov (1975:177-178)		-ïs/-is/-s	
GB116	Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB117	Is there a copula for predicate nominals?	1: present, 0: absent	1	Baskakov (1975:81, 214)	in the past, but not in the present tense		"min kizi-bin
1SG person-1SG
‘I am a human.’"
GB118	Are there serial verb constructions?	1: present, 0: absent	?	Baskakov (1975:1-413)	Not mentioned.		
GB119	"Can mood be marked by an inflecting word (""auxiliary verb"")?"	1: present, 0: absent	1	Baskakov (1975:193-195, 243-245)		conditional: pol- ‘to be’	"kil pol-ar-bïn
come be-FUT-1SG
‘I will be able to come.’"
GB120	"Can aspect be marked by an inflecting word (""auxiliary verb"")?"	1: present, 0: absent	1	Baskakov (1975:182-186)		"IPFV: tur- + PTCP.PFV
par + -ïp PTCP
PFV: sal- ‘put’ + -ïp PTCP
etc."	"surïp al tur-
question do do
‘to be asking a question’"
GB121	"Can tense be marked by an inflecting word (""auxiliary verb"")?"	1: present, 0: absent	1	Baskakov (1975:207)		"odïr- ‘sit’, tur- ‘stand’, čör- ‘go’
past perfect: pol-
future: PTCP + pol-ar + personal suffix"	"Xajzï čir-de čaXsï öllel-če Xajzï čir-ler XuruƔ Xalïp odïr-ča
some earth-LOC well irrigate-PRS some place-PL dry remain sit-PRS
‘Some places are irrigated well, some places remain dry.’"
GB122	Is verb compounding a regular process?	1: present, 0: absent	?	Baskakov (1975:1-413)	Not mentioned.		
GB123	Are there verb-adjunct (aka light-verb) constructions?	1: present, 0: absent	1	Baskakov (1975:171-173, 346)			"tamkï tart-
tobacco pull
‘to smoke’
Xol sal-
hand put
‘to sign’
XarïX tartarƔa 
nose.bridge pull
‘to snore’"
GB124	Is incorporation of nouns into verbs a productive intransitivizing process?	1: present, 0: absent	0	Baskakov (1975:179-181)			
GB126	Is there an existential verb?	1: present, 0: absent	?	Baskakov (1975:1-413)	Not mentioned.		
GB127	Are different posture verbs used obligatorily depending on an inanimate locatum's shape or position (e.g. 'to lie' vs. 'to stand')?	1: present, 0: absent	?	Baskakov (1975:1-413)	Not mentioned.		
GB129	Is there a notably small number, i.e. about 100 or less, of verb roots in the language?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB130	What is the pragmatically unmarked order of S and V in intransitive clauses?	multistate 1: SV; 2: VS; 3: both	1	Baskakov (1975:207)			"annaŋ Xosti panük-tïŋ goša-zï odïr
3SG beside Panjuk-? Gosha-? sit
‘Beside her Gosha, Panjuk’s son, is sitting.’"
GB131	Is a pragmatically unmarked constituent order verb-initial for transitive clauses?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB132	Is a pragmatically unmarked constituent order verb-medial for transitive clauses?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB133	Is a pragmatically unmarked constituent order verb-final for transitive clauses?	1: present, 0: absent	1	Baskakov (1975:329-330, 332)			"pu kizi mïndoX čide sal-dï
this person here reach.CONV put-PST
‘This person arrived at this very place.’"
GB134	Is the order of constituents the same in main and subordinate clauses?	1: present, 0: absent	?	Baskakov (1975:1-413)			
GB135	Do clausal objects usually occur in the same position as nominal objects?	1: present, 0: absent	1	Baskakov (1975:402)			"sin kil-gen-ge pis örin-če-bis
2SG come-PST-DAT 1PL be.glad-PRS-1PL
‘We are glad that you have come.’"
GB136	Is the order of core argument (i.e. S/A/P) constituents fixed?	1: present, 0: absent	1	Baskakov (1975:329-330, 332)			
GB137	Can standard negation be marked clause-finally?	1: present, 0: absent	1	Baskakov (1975:174)			
GB138	Can standard negation be marked clause-initially?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB139	Is there a difference between imperative (prohibitive) and declarative negation constructions?	1: present, 0: absent	0	Baskakov (1975:174, 190, 208)		-ba/-be/-pa/-pe/-ma/-me	"sana-ba-dï-m
count-NEG-PST.REC-1SG
‘I didn’t count (recently).’
sat-pa
sell-NEG
‘Don’t sell!’"
GB140	Is verbal predication marked by the same negator as all of the following types of predication: locational, existential and nominal?	1: present, 0: absent	0	Baskakov (1975:174, 251)		"verbal: -pasXa/-peske/-masXa/-meske, -ba/-be/-pa/-pe/-ma/-me
existential: čoX
nominal: nimes"	"in-meske
go.down-NEG
‘not to go down’
kömes te: čoX pol-ar
a.little even NEG be-FUT
‘You won’t have even little things’
čil de: ötig nimes
wind almost strong NEG
‘The wind is not so strong.’"
GB146	Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?	1: present, 0: absent	?	Baskakov (1975:1-413)			
GB147	Is there a morphological passive marked on the lexical verb?	1: present, 0: absent	1	Baskakov (1975:178-179)		-ïl/-il/-l	"ču:-l
wash-PASS
‘to be washed’"
GB148	Is there a morphological antipassive marked on the lexical verb?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB149	Is there a morphologically marked inverse on verbs?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB150	Is there clause chaining?	1: present, 0: absent	1	Baskakov (1975:237)			
GB151	"Is there an overt verb marker dedicated to signalling coreference or noncoreference between the subject of one clause and an argument of an adjacent clause (""switch reference"")?"	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB152	Is there a morphologically marked distinction between simultaneous and sequential clauses?	1: present, 0: absent	1	Baskakov (1975:238)	different participles are used in this function		
GB155	Are causatives formed by affixes or clitics on verbs?	1: present, 0: absent	1	Baskakov (1975:179-181)		-tïr and allomorphs	"it-tir
do-CAUS
‘to make do’"
GB156	Is there a causative construction involving an element that is unmistakably grammaticalized from a verb for 'to say'?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB158	Are verbs reduplicated?	1: present, 0: absent	?	Baskakov (1975:1-413)	Not mentioned.		
GB159	Are nouns reduplicated?	1: present, 0: absent	?	Baskakov (1975:62)	Not mentioned.		"pala~parha
child~COLL
‘children'"
GB160	Are elements apart from verbs or nouns reduplicated?	1: present, 0: absent	1	Baskakov (1975:94, 140-144)	adjectives		"sap~sar-ïƔ
yellow~INT-ADJ
‘very yellow’
sirt~sart
bounce~REP
‘imitating a bouncing movement’"
GB165	Is there productive morphological trial marking on nouns?	1: present, 0: absent	0	Baskakov (1975:61)			
GB166	Is there productive morphological paucal marking on nouns?	1: present, 0: absent	0	Baskakov (1975:61)			
GB167	Is there a logophoric pronoun?	1: present, 0: absent	0	Baskakov (1975:146)			
GB170	Can an adnominal property word agree with the noun in gender/noun class?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB171	Can an adnominal demonstrative agree with the noun in gender/noun class?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB172	Can an article agree with the noun in gender/noun class?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB177	Can the verb carry a marker of animacy of argument, unrelated to any gender/noun class of the argument visible in the NP domain?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB184	Can an adnominal property word agree with the noun in number?	1: present, 0: absent	0	Baskakov (1975:331)			
GB185	Can an adnominal demonstrative agree with the noun in number?	1: present, 0: absent	0	Baskakov (1975:149)			"pu čïl-lar-da
this year-PL-LOC
‘in these years’"
GB186	Can an article agree with the noun in number?	1: present, 0: absent	0	Baskakov (1975:116)			
GB187	Is there any productive diminutive marking on the noun (exclude marking by system of nominal classification only)?	1: present, 0: absent	1	Baskakov (1975:60)		"-ǮaX/-Ǯek/-ïǮaX/-iǮek
-aX/-ek"	"tura-ǮaX
house-DIM
‘a small house’
adaj-aX
dog-DIM
‘a small dog’"
GB188	Is there any productive augmentative marking on the noun (exclude marking by system of nominal classification only)?	1: present, 0: absent	0	Baskakov (1975:1-413)	Not mentioned.		
GB192	Is there a gender system where a noun's phonological properties are a factor in class assignment?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB193	What is the order of adnominal property word and noun?	multistate 1: ANM - N; 2: N - ANM; 3: both; 0: they cannot be used attributively	1	Baskakov (1975:84)			"čaj-Ɣï kün
summer-ADJ day
‘a summer day’"
GB196	Is there a male/female distinction in 2nd person independent pronouns?	1: present, 0: absent	0	Baskakov (1975:146)			
GB197	Is there a male/female distinction in 1st person independent pronouns?	1: present, 0: absent	0	Baskakov (1975:146)			
GB198	Can an adnominal numeral agree with the noun in gender/noun class?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB203	What is the order of the adnominal collective universal quantifier ('all') and the noun?	0: no UQ, 1: UQ-N, 2: N-UQ, 3: both	1	Baskakov (1975:156)			"praj ügrenǮi-ler
all pupil-PL
‘all pupils’"
GB204	Do collective ('all') and distributive ('every') universal quantifiers differ in their forms or their syntactic positions?	1: present, 0: absent	1	Baskakov (1975:156)			"polƔan na ‘every’
praj ‘all, whole’"
GB250	Can predicative possession be expressed with a transitive 'habeo' verb?	1: present, 0: absent	?	Baskakov (1975:1-413)	no examples available		
GB252	Can predicative possession be expressed with an S-like possessum and a locative-coded possessor?	1: present, 0: absent	1	Baskakov (1975:304)			"sin-de xïnïƔ kniga-lar par ba
2SG-LOC interesting book-PL exist Q
‘Do you have interesting books?’"
GB253	Can predicative possession be expressed with an S-like possessum and a dative-coded possessor?	1: present, 0: absent	?	Baskakov (1975:1-413)	no examples available		
GB254	Can predicative possession be expressed with an S-like possessum and a possessor that is coded like an adnominal possessor?	1: present, 0: absent	1	Baskakov (1975:304)			"XuraƔan-nar kolXoz-ti
lamb-PL kolkhoz-GEN.3SG
‘The lambs belong to the kolkhoz.’
min-iŋ Xarïndaz-ïm iki
1SG-POSS brother-1SG two
‘I have two brothers.’"
GB256	Can predicative possession be expressed with an S-like possessor and a possessum that is coded like a comitative argument?	1: present, 0: absent	?	Baskakov (1975:1-413)	no examples available		
GB257	Can polar interrogation be marked by intonation only?	1: present, 0: absent	0	Baskakov (1975:286-287)			
GB260	Can polar interrogation be indicated by a special word order?	1: present, 0: absent	0	Baskakov (1975:286-287)			
GB262	Is there a clause-initial polar interrogative particle?	1: present, 0: absent	0	Baskakov (1975:286-287)			
GB263	Is there a clause-final polar interrogative particle?	1: present, 0: absent	1	Baskakov (1975:286-287)	although the particle is written separately from the verb, it changes it shapes according to the last consonant of the verb and the type of vowels in the verb	"ma/me/pa/pe/ba/be
R.PST = recent past"	"am pil-di-ŋ me kem-min min
now know-R.PST-2SG Q who-1SG 1SG
‘Do you know now, who I am?’"
GB264	Is there a polar interrogative particle that most commonly occurs neither clause-initially nor clause-finally?	1: present, 0: absent	0	Baskakov (1975:286-287)			
GB265	Is there a comparative construction that includes a form that elsewhere means 'surpass, exceed'?	1: present, 0: absent	0	Baskakov (1975:94)			
GB266	Is there a comparative construction that employs a marker of the standard which elsewhere has a locational meaning?	1: present, 0: absent	1	Baskakov (1975:94)			"altïn-naŋ a:rlïg
gold-ABL expensive
‘more expensive than gold’
kün ai-daŋ čarïX
son moon-ABL bright
‘The sun is brighter than the moon.’"
GB270	Can comparatives be expressed using two conjoined clauses?	1: present, 0: absent	0	Baskakov (1975:94)			
GB273	Is there a comparative construction with a standard marker that elsewhere has neither a locational meaning nor a 'surpass/exceed' meaning?	1: present, 0: absent	0	Baskakov (1975:94)			
GB275	Is there a bound comparative degree marker on the property word in a comparative construction?	1: present, 0: absent	0	Baskakov (1975:94)			"kün ai-daŋ čarïX
son moon-ABL bright
‘The sun is brighter than the moon.’"
GB276	Is there a non-bound comparative degree marker modifying the property word in a comparative construction?	1: present, 0: absent	0	Baskakov (1975:94)			"kün ai-daŋ čarïX
son moon-ABL bright
‘The sun is brighter than the moon.’"
GB285	Can polar interrogation be marked by a question particle and verbal morphology?	1: present, 0: absent	0	Baskakov (1975:286-287)			
GB286	Can polar interrogation be indicated by overt verbal morphology only?	1: present, 0: absent	0	Baskakov (1975:286-287)	the phonologically bound particle can attach to any part of speech		
GB291	Can polar interrogation be marked by tone?	1: present, 0: absent	0	Baskakov (1975:286-287)			
GB296	Is there a phonologically or morphosyntactically definable class of ideophones that includes ideophones depicting imagery beyond sound?	1: present, 0: absent	1	Baskakov (1975:140-144)			
GB297	Can polar interrogation be indicated by a V-not-V construction?	1: present, 0: absent	0	Baskakov (1975:286-287)			
GB298	"Can standard negation be marked by an inflecting word (""auxiliary verb"")?"	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB299	"Can standard negation be marked by a non-inflecting word (""auxiliary particle"")?"	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB300	Does the verb for 'give' have suppletive verb forms?	1: present, 0: absent	?	Baskakov (1975:1-413)	Not mentioned.		
GB301	Is there an inclusory construction?	1: present, 0: absent	?	Baskakov (1975:1-413)	no examples available		
GB302	Is there a phonologically free passive marker ('particle' or 'auxiliary')?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB303	Is there a phonologically free antipassive marker ('particle' or 'auxiliary')?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB304	Can the agent be expressed overtly in a passive clause?	1: present, 0: absent	1	Baskakov (1975:70)			"aƔas-tar čil-ge čajXalïs tur-Ɣan-nar
tree-PL wind-DAT sway stand-INDEF.PST-PL
‘The trees were being swayed by the wind.’"
GB305	Is there a phonologically independent reflexive pronoun?	1: present, 0: absent	?	Baskakov (1975:1-413)	Not mentioned.		
GB306	Is there a phonologically independent non-bipartite reciprocal pronoun?	1: present, 0: absent	?	Baskakov (1975:1-413)	Not mentioned.		
GB309	Are there multiple past or multiple future tenses, distinguishing distance from Time of Reference?	1: present, 0: absent	1	Baskakov (1975:207-227)			"par-Ɣan pol-Ɣam
go-PST.INDF be-PST.INDF.1SG
‘I went once upon a time.’"
GB312	Is there overt morphological marking on the verb dedicated to mood?	1: present, 0: absent	1	Baskakov (1975:189-192, 196-197)		"conditional: -sa/-se, -za/-ze
voluntative: -Ɣaj/-gej and allomorphs"	
GB313	Are there special adnominal possessive pronouns that are not formed by an otherwise regular process?	1: present, 0: absent	0	Baskakov (1975:153)	personal pronouns in the genitive case		"min-iŋ
1SG-GEN
‘my’"
GB314	Can augmentative meaning be expressed productively by a shift of gender/noun class?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB315	Can diminutive meaning be expressed productively by a shift of gender/noun class?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB316	Is singular number regularly marked in the noun phrase by a dedicated phonologically free element?	1: present, 0: absent	0	Baskakov (1975:61)			
GB317	Is dual number regularly marked in the noun phrase by a dedicated phonologically free element?	1: present, 0: absent	0	Baskakov (1975:61)			
GB318	Is plural number regularly marked in the noun phrase by a dedicated phonologically free element?	1: present, 0: absent	0	Baskakov (1975:61)			
GB319	Is trial number regularly marked in the noun phrase by a dedicated phonologically free element?	1: present, 0: absent	0	Baskakov (1975:61)			
GB320	Is paucal number regularly marked in the noun phrase by a dedicated phonologically free element?	1: present, 0: absent	0	Baskakov (1975:61)			
GB321	Is there a large class of nouns whose gender/noun class is not phonologically or semantically predictable?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB322	Is there grammatical marking of direct evidence (perceived with the senses)?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB323	Is there grammatical marking of indirect evidence (hearsay, inference, etc.)?	1: present, 0: absent	1	Baskakov (1975:218-219)		-tïr/-tir	
GB324	Is there an interrogative verb for content interrogatives (who?, what?, etc.)?	1: present, 0: absent	?	Baskakov (1975:286-287)			
GB325	Is there a count/mass distinction in interrogative quantifiers?	1: present, 0: absent	1	Baskakov (1975:158)			"niŋče ‘how many’
XanǮa ‘how much’"
GB326	Do (nominal) content interrogatives normally or frequently occur in situ?	1: present, 0: absent	1	Baskakov (1975:161)			"ol nimeni Xajdar alƔazïŋ
this thing from.where get
‘Where did you get this thing from?’
kemner-kemner par-Ɣan-nar
who-who go-INDEF.PST-PL
‘Who of them left?’"
GB327	Can the relative clause follow the noun?	1: present, 0: absent	1	Baskakov (1975:400-401)	borrowed from Russian		
GB328	Can the relative clause precede the noun?	1: present, 0: absent	1	Baskakov (1975:400-401)			
GB329	Are there internally-headed relative clauses?	1: present, 0: absent	0	Baskakov (1975:400-401)			
GB330	Are there correlative relative clauses?	1: present, 0: absent	0	Baskakov (1975:400-401)			
GB331	Are there adjoined relative clauses?	1: present, 0: absent	0	Baskakov (1975:400-401)			
GB333	Is there a decimal numeral system?	1: present, 0: absent	1	Baskakov (1975:113)			
GB334	Is there synchronic evidence for any element of a quinary numeral system?	1: present, 0: absent	0	Baskakov (1975:113)			
GB335	Is there synchronic evidence for any element of a vigesimal numeral system?	1: present, 0: absent	0	Baskakov (1975:113)			
GB336	Is there a body-part tallying system?	1: present, 0: absent	0	Baskakov (1975:113)			
GB400	Are all person categories neutralized in some voice, tense, aspect, mood and/or negation?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB401	Is there a class of patient-labile verbs?	1: present, 0: absent	?	Baskakov (1975:1-413)	Not mentioned.		
GB402	Does the verb for 'see' have suppletive verb forms?	1: present, 0: absent	?	Baskakov (1975:1-413)	Not mentioned.		
GB403	Does the verb for 'come' have suppletive verb forms?	1: present, 0: absent	?	Baskakov (1975:1-413)	Not mentioned.		
GB408	Is there any accusative alignment of flagging?	1: present, 0: absent	1	Baskakov (1975:70-71)			
GB409	Is there any ergative alignment of flagging?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB410	Is there any neutral alignment of flagging?	1: present, 0: absent	?	Baskakov (1975:1-413)			
GB415	Is there a politeness distinction in 2nd person forms?	1: present, 0: absent	0	Baskakov (1975:146)			
GB421	Is there a preposed complementizer in complements of verbs of thinking and/or knowing?	1: present, 0: absent	?	Baskakov (1975:401-402)	Not mentioned.		
GB422	Is there a postposed complementizer in complements of verbs of thinking and/or knowing?	1: present, 0: absent	?	Baskakov (1975:1-413)	Not mentioned.		
GB430	Can adnominal possession be marked by a prefix on the possessor?	1: present, 0: absent	0	Baskakov (1975:62-65, 281)			
GB431	Can adnominal possession be marked by a prefix on the possessed noun?	1: present, 0: absent	0	Baskakov (1975:62-65, 281)			
GB432	Can adnominal possession be marked by a suffix on the possessor?	1: present, 0: absent	1	Baskakov (1975:64, 67, 281)			"min-iŋ kniga-lar-ïm
1SG.OBL-GEN book-PL-1PL
‘my books’"
GB433	Can adnominal possession be marked by a suffix on the possessed noun?	1: present, 0: absent	1	Baskakov (1975:62-63, 281)			"paz-ïm
head-1SG
‘my head’
kniga-lar-ï
book-PL-3
‘their book’"
