Grambank ID	Feature	Possible Values	Value	Source	Comment	Detailed comment	Example
GB070	Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?	1: present, 0: absent	1	Andreev (1997:486-487)			"ku kěneke-ne vulat
[DEM book-OBJ read]
‘He is reading the book.’ "
GB071	Are there morphological cases for pronominal core arguments (i.e. S/A/P)?	1: present, 0: absent	1	"Andreev (1961:614); Levitskaja (1976:29-31); Savelev (p.c. 2016)"		"1SG
NOM Ele
DAT/ACC man-a"	
GB072	Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?	1: present, 0: absent	1	"Andreev (1997:486-487); Levitskaja (1976:18-28"		"locative -ta/-če
ablative -ran/-ren/-tan/-ten
instrumental-comitative -pa/-pe
abessiv -s@r
causal-final -s@n
orientative -a/-e/-na/-ne + -lla/-lle
imstrumental -in/-n"	"tul-ta [yard-LOC] ‘in the yard’
arman-sen-čen [windmill-PL-ABL] ‘from the windmills’
pulǎ šiv-ra išet
[fish water-LOC swim]
‘The fish swims in the water.’"
GB073	Are there morphological cases for oblique independent personal pronouns (i.e. not S/A/P)?	1: present, 0: absent	1	"Andreev (1961:614); Levitskaja (1976:29-31); Savelev (p.c. 2016)"		"1SG
LOC man-ra
ABL man-rav
INST man-pa
ABESS man-sar
CAUS/FIN man-San"	
GB074	Are there prepositions?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB075	Are there postpositions?	1: present, 0: absent	1	"Levitskaja (1976:116-121); Savelev (p.c. 2016); Krueger (1961:53)"			
GB079	Do verbs have prefixes/proclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB080	Do verbs have suffixes/enclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	1: present, 0: absent	1	Savelev (p.c. 2016)			
GB081	Is there productive infixation in verbs?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB082	Is there overt morphological marking of present tense on verbs?	1: present, 0: absent	1	"Andreev (1997:485); Levitskaja (1976:50)"		PRS tense stem: verb PTCP -a/-e + -t	"yurla-d-əp
[sing-PRS-1SG]
‘I am singing.’"
GB083	Is there overt morphological marking on the verb dedicated to past tense?	1: present, 0: absent	1	"Andreev (1997:485-486); Levitskaja (1976:67-75)"			
GB084	Is there overt morphological marking on the verb dedicated to future tense?	1: present, 0: absent	0	"Krueger (1961:144); Andreev (1997:485)"			
GB086	Is a morphological distinction between perfective and imperfective aspect available on verbs?	1: present, 0: absent	0	Andreev (1997:485)			
GB089	Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?	1: present, 0: absent	1	Andreev (1997:484)		"person markers for PRS: 1SG -p, 2SG -n, 3SG/PL -@, 1PL -pVr, 2PL -r
person markers for PST: 1SG -m, 2SG -n, 3SG/PL -@, 1PL -mVr, 2PL -r"	"kay-əb-ər [go-1-PL] ‘we will go’
kay-ər [go-2PL] ‘you will go’
1SG pїradə-p [go-1SG]
2SG pїradə-n [go-2SG]
3SG pїrat’ [go]
1PL pїrat-pər [go-1PL]
2PL pїradə-r [go-2PL]
3PL pїra-śś-ɘ [go-PL-3PL]"
GB090	Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB091	Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?	1: present, 0: absent	1	Andreev (1997:484)		"person markers for PRS: 1SG -p, 2SG -n, 3SG/PL -@, 1PL -pVr, 2PL -r
person markers for PST: 1SG -m, 2SG -n, 3SG/PL -@, 1PL -mVr, 2PL -r"	
GB092	Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB093	Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?	1: present, 0: absent	0	Krueger (1961:102-104)		"ku kěneke-ne vulat
[DEM book-OBJ read]
‘He is reading the book.’ "	
GB094	Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB095	Are variations in marking strategies of core participants based on TAM distinctions?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB096	Are variations in marking strategies of core participants based on verb classes?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB098	Are variations in marking strategies of core participants based on person distinctions?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB099	Can verb stems alter according to the person of a core participant?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB103	Is there a benefactive applicative marker on the verb (including indexing)?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB104	Is there an instrumental applicative marker on the verb (including indexing)?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB105	Can the recipient in a ditransitive construction be marked like the monotransitive patient?	1: present, 0: absent	1	"Krueger (1961:102-104); Andreev (1997:486); Levitskaja (1976: 14-15); Savelev (p.c. 2016)"		ACC=DAT -a/-e/-je/-na/-ne	"ku kěneke-ne vulat
[DEM book-OBJ read]
‘He is reading the book.’ "
GB107	Can standard negation be marked by an affix, clitic or modification of the verb?	1: present, 0: absent	1	"Levitskaja (1976:53); Savelev (p.c. 2016)"		"suffix -mas/-mes for durative present,
-mǎ/-mě for other cases"	"tupay-mas-tǎr 
[find-NEG.DUR.PRS-2PL]
‘You cannot find.’"
GB108	Is there directional or locative morphological marking on verbs?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB109	Is there verb suppletion for participant number?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB110	Is there verb suppletion for tense or aspect?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB111	Are there conjugation classes?	1: present, 0: absent	1	Savelev (p.c. 2016)		10 verbs ending in -r and losing it in conjugation	
GB113	Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?	1: present, 0: absent	1	Savelev (p.c. 2016)			
GB114	Is there a phonologically bound reflexive marker on the verb?	1: present, 0: absent	1	"Andreev (1961:615); Savelev (p.c. 2016)"			śəʷv-əʷn [wash-REFL] ‘wash oneself’
GB115	Is there a phonologically bound reciprocal marker on the verb?	1: present, 0: absent	1	"Krueger (1961:180); Andreev (1961:615); Savelev (p.c. 2016)"			kala-ś [talk-RECIP] ‘to talk to each other’
GB116	Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB117	Is there a copula for predicate nominals?	1: present, 0: absent	0	Savelev (p.c. 2017)			
GB118	Are there serial verb constructions?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB119	"Can mood be marked by an inflecting word (""auxiliary verb"")?"	1: present, 0: absent	1	Savelev (p.c. 2017)		optative 3SG	
GB120	"Can aspect be marked by an inflecting word (""auxiliary verb"")?"	1: present, 0: absent	1	Andreev (1997:485)			
GB121	"Can tense be marked by an inflecting word (""auxiliary verb"")?"	1: present, 0: absent	1	Andreev (1997:485)			
GB122	Is verb compounding a regular process?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB123	Are there verb-adjunct (aka light-verb) constructions?	1: present, 0: absent	1	Savelev (p.c. 2016)			
GB124	Is incorporation of nouns into verbs a productive intransitivizing process?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB126	Is there an existential verb?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB127	Are different posture verbs used obligatorily depending on an inanimate locatum's shape or position (e.g. 'to lie' vs. 'to stand')?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB129	Is there a notably small number, i.e. about 100 or less, of verb roots in the language?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB130	What is the pragmatically unmarked order of S and V in intransitive clauses?	"multistate 1: SV; 2: VS; 3: both"	1	Savelev (p.c. 2016)			"škula kayadəp
[school go.1SG]
‘I go to school.’
pulə šїv-ra išet
[fish water-LOC swim]
‘The fish swims in the water.’"
GB131	Is a pragmatically unmarked constituent order verb-initial for transitive clauses?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB132	Is a pragmatically unmarked constituent order verb-medial for transitive clauses?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB133	Is a pragmatically unmarked constituent order verb-final for transitive clauses?	1: present, 0: absent	1	"Krueger (1961:53); Savelev (p.c. 2016)"			
GB134	Is the order of constituents the same in main and subordinate clauses?	1: present, 0: absent	1	Savelev (p.c. 2016)			"čul šїvra pudat’ mɘnžɘn tesen vəʷl š1vran j1vər
[stone water.LOC sink.PRS.3SG what.CAUS/FIN say.PTCP 3SG water.ABL heavy]
‘The stone does not sink in the water, because it is heavier than water.’"
GB135	Do clausal objects usually occur in the same position as nominal objects?	1: present, 0: absent	1	Savelev (p.c. 2016)			"epe vəʷl  əśtine pɘlmestɘp
1SG 3SG where.NOM.DAT/ACC know.NEG.PRS.1SG
‘I do not know where he is.’"
GB136	Is the order of core argument (i.e. S/A/P) constituents fixed?	1: present, 0: absent	1	"Andreev (1961:628); Andreev (1997:488-489)"			"kěneke ilt@m [book buy.PST] ‘I bought a book.’
škula kajat@p [school go.1SG] ‘I go to school.’"
GB137	Can standard negation be marked clause-finally?	1: present, 0: absent	1	"Krueger (1961:142-143); Savelev (p.c. 2016)"			tupay-mas-tǎr [find-NEG.DUR.PRS-2PL] ‘You cannot find.’
GB138	Can standard negation be marked clause-initially?	1: present, 0: absent	0	"Krueger (1961:142-143); Savelev (p.c. 2016)"			
GB139	Is there a difference between imperative (prohibitive) and declarative negation constructions?	1: present, 0: absent	1	"Levitskaja (1976:53, 77); Savelev (p.c. 2016)"			"s1r-m-@p [write-NEG-1SG] ‘I will not write.’
an il [NEG take] ‘Don’t take (SG)!’
an il-@r [NEG take-3PL] ‘Don’t take (PL)!'"
GB140	Is verbal predication marked by the same negator as all of the following types of predication: locational, existential and nominal?	1: present, 0: absent	0	"Krueger (1961:142-143); Savelev (p.c. 2016)"			
GB146	Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?	1: present, 0: absent	0	Andreev (1997:488)			
GB147	Is there a morphological passive marked on the lexical verb?	1: present, 0: absent	0	Andreev (1997:485, 488)			
GB148	Is there a morphological antipassive marked on the lexical verb?	1: present, 0: absent	0	Andreev (1997:485, 488)			
GB149	Is there a morphologically marked inverse on verbs?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB150	Is there clause chaining?	1: present, 0: absent	1	Savelev (p.c. 2017)			
GB151	"Is there an overt verb marker dedicated to signalling coreference or noncoreference between the subject of one clause and an argument of an adjacent clause (""switch reference"")?"	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB152	Is there a morphologically marked distinction between simultaneous and sequential clauses?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB155	Are causatives formed by affixes or clitics on verbs?	1: present, 0: absent	1	Savelev (p.c. 2016)			
GB156	Is there a causative construction involving an element that is unmistakably grammaticalized from a verb for 'to say'?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB158	Are verbs reduplicated?	1: present, 0: absent	0	Savelev (p.c. 2016)	to express iterativity, not clear whether the reduplicated verb constitutes a phonological word		
GB159	Are nouns reduplicated?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB160	Are elements apart from verbs or nouns reduplicated?	1: present, 0: absent	1	Savelev (p.c. 2016)	ideophones are reduplicated		
GB165	Is there productive morphological trial marking on nouns?	1: present, 0: absent	0	"Krueger (1961:112); Savelev (p.c. 2016)"			
GB166	Is there productive morphological paucal marking on nouns?	1: present, 0: absent	0	"Krueger (1961:112); Savelev (p.c. 2016)"			
GB167	Is there a logophoric pronoun?	1: present, 0: absent	0	"Levitskaja (1976:29-31); Savelev (p.c. 2016)"			
GB170	Can an adnominal property word agree with the noun in gender/noun class?	1: present, 0: absent	0	"Andreev (1997:484); Krueger (1961:92); Savelev (p.c. 2016)"			
GB171	Can an adnominal demonstrative agree with the noun in gender/noun class?	1: present, 0: absent	0	"Andreev (1997:484); Krueger (1961:92)"			
GB172	Can an article agree with the noun in gender/noun class?	1: present, 0: absent	0	"Krueger (1961:53); Andreev (1997:484)"			
GB177	Can the verb carry a marker of animacy of argument, unrelated to any gender/noun class of the argument visible in the NP domain?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB184	Can an adnominal property word agree with the noun in number?	1: present, 0: absent	0	Savelev (p.c. 2016)		adjectives agrees with the noun in predicative function only	
GB185	Can an adnominal demonstrative agree with the noun in number?	1: present, 0: absent	0	"Krueger (1961:133); Savelev (p.c. 2016)"			"vəʷl śin [that person] ‘that man’
vəʷl śin-sem [that person-PL] ‘those people’"
GB186	Can an article agree with the noun in number?	1: present, 0: absent	0	"Krueger (1961:53); Savelev (p.c. 2016)"			
GB187	Is there any productive diminutive marking on the noun (exclude marking by system of nominal classification only)?	1: present, 0: absent	0	"Levitskaja (1976:141-143); Savelev (p.c. 2016)"	It is not productive.		
GB188	Is there any productive augmentative marking on the noun (exclude marking by system of nominal classification only)?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB192	Is there a gender system where a noun's phonological properties are a factor in class assignment?	1: present, 0: absent	0	"Andreev (1997:484); Krueger (1961:92)"			
GB193	What is the order of adnominal property word and noun?	"multistate 1: ANM - N; 2: N - ANM; 3: both; 0: they cannot be used attributively"	1	"Andreev (1997:488); Krueger (1961:124)"			"p1zək čul śurt [big stone house] ‘big stone house’
śurǎ śǎmarta [white egg] ‘a white egg’"
GB196	Is there a male/female distinction in 2nd person independent pronouns?	1: present, 0: absent	0	"Levitskaja (1976:29-31); Savelev (p.c. 2016)"			
GB197	Is there a male/female distinction in 1st person independent pronouns?	1: present, 0: absent	0	"Levitskaja (1976:29-31); Savelev (p.c. 2016)"			
GB198	Can an adnominal numeral agree with the noun in gender/noun class?	1: present, 0: absent	0	"Andreev (1997:484); Krueger (1961:92); Savelev (p.c. 2016)"			
GB203	What is the order of the adnominal collective universal quantifier ('all') and the noun?	0: no UQ, 1: UQ-N, 2: N-UQ, 3: both	1	Savelev (p.c. 2016)			
GB204	Do collective ('all') and distributive ('every') universal quantifiers differ in their forms or their syntactic positions?	1: present, 0: absent	1	"Krueger (1961:140); Savelev (p.c. 2016)"			
GB250	Can predicative possession be expressed with a transitive 'habeo' verb?	1: present, 0: absent	0	"Krueger (1961:119); Savelev (p.c. 2016)"			
GB252	Can predicative possession be expressed with an S-like possessum and a locative-coded possessor?	1: present, 0: absent	0	"Krueger (1961:119); Savelev (p.c. 2016)"			
GB253	Can predicative possession be expressed with an S-like possessum and a dative-coded possessor?	1: present, 0: absent	0	"Krueger (1961:119); Savelev (p.c. 2016)"			
GB254	Can predicative possession be expressed with an S-like possessum and a possessor that is coded like an adnominal possessor?	1: present, 0: absent	1	"Krueger (1961:119); Savelev (p.c. 2016)"		"pur ‘to exist’
Suk ‘not to exist’"	"manǎn kěneke pur [my book exist] ‘I have a book.’
sanan vǎχǎt śuk [his time not.exist] ‘He doesn’t have time.’"
GB256	Can predicative possession be expressed with an S-like possessor and a possessum that is coded like a comitative argument?	1: present, 0: absent	0	"Krueger (1961:119); Savelev (p.c. 2016)"			
GB257	Can polar interrogation be marked by intonation only?	1: present, 0: absent	0	"Krueger (1961:171); Andreev (1997:489)"			
GB260	Can polar interrogation be indicated by a special word order?	1: present, 0: absent	0	"Krueger (1961:171); Andreev (1997:489)"			
GB262	Is there a clause-initial polar interrogative particle?	1: present, 0: absent	0	"Krueger (1961:146, 171); Andreev (1997:489)"			
GB263	Is there a clause-final polar interrogative particle?	1: present, 0: absent	1	"Krueger (1961:146, 171); Andreev (1997:489)"		"-i
it attaches to the last element in the clause"	"esir kurtəʷr-i
[2SG see-Q]
‘Did you see it?’"
GB264	Is there a polar interrogative particle that most commonly occurs neither clause-initially nor clause-finally?	1: present, 0: absent	0	"Krueger (1961:171); Andreev (1997:489)"			
GB265	Is there a comparative construction that includes a form that elsewhere means 'surpass, exceed'?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB266	Is there a comparative construction that employs a marker of the standard which elsewhere has a locational meaning?	1: present, 0: absent	1	"Krueger (1961:107-108); Savelev (p.c. 2016)"			
GB270	Can comparatives be expressed using two conjoined clauses?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB273	Is there a comparative construction with a standard marker that elsewhere has neither a locational meaning nor a 'surpass/exceed' meaning?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB275	Is there a bound comparative degree marker on the property word in a comparative construction?	1: present, 0: absent	1	Krueger (1961:125-126)			
GB276	Is there a non-bound comparative degree marker modifying the property word in a comparative construction?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB285	Can polar interrogation be marked by a question particle and verbal morphology?	1: present, 0: absent	0	"Krueger (1961:171); Andreev (1997:489)"			
GB286	Can polar interrogation be indicated by overt verbal morphology only?	1: present, 0: absent	0	"Krueger (1961:171); Andreev (1997:489)"			
GB291	Can polar interrogation be marked by tone?	1: present, 0: absent	0	"Krueger (1961:171); Andreev (1997:489)"			
GB296	Is there a phonologically or morphosyntactically definable class of ideophones that includes ideophones depicting imagery beyond sound?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB297	Can polar interrogation be indicated by a V-not-V construction?	1: present, 0: absent	0	"Krueger (1961:171); Andreev (1997:489)"			
GB298	"Can standard negation be marked by an inflecting word (""auxiliary verb"")?"	1: present, 0: absent	0	"Krueger (1961:142-143); Savelev (p.c. 2016)"			
GB299	"Can standard negation be marked by a non-inflecting word (""auxiliary particle"")?"	1: present, 0: absent	0	"Krueger (1961:142-143); Savelev (p.c. 2016)"			
GB300	Does the verb for 'give' have suppletive verb forms?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB301	Is there an inclusory construction?	1: present, 0: absent	?	"Krueger (1961:109, 169); Savelev (p.c. 2016)"			
GB302	Is there a phonologically free passive marker ('particle' or 'auxiliary')?	1: present, 0: absent	0	Andreev (1997:485, 488)			
GB303	Is there a phonologically free antipassive marker ('particle' or 'auxiliary')?	1: present, 0: absent	0	Andreev (1997:485, 488)			
GB304	Can the agent be expressed overtly in a passive clause?	1: present, 0: absent	0	Andreev (1997:485, 488)		no passive	
GB305	Is there a phonologically independent reflexive pronoun?	1: present, 0: absent	1	"Andreev (1961:614); Levitskaja (1976:31-32); Savelev (p.c. 2016)"			
GB306	Is there a phonologically independent non-bipartite reciprocal pronoun?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB309	Are there multiple past or multiple future tenses, distinguishing distance from Time of Reference?	1: present, 0: absent	1	"Andreev (1997:485-486); Levitskaja (1976:67-75)"			
GB312	Is there overt morphological marking on the verb dedicated to mood?	1: present, 0: absent	1	"Levitskaja (1976:54); Savelev (p.c. 2016)"			
GB313	Are there special adnominal possessive pronouns that are not formed by an otherwise regular process?	1: present, 0: absent	0	Savelev (p.c. 2016)		OBL(+GEN)	
GB314	Can augmentative meaning be expressed productively by a shift of gender/noun class?	1: present, 0: absent	0	"Andreev (1997:484); Krueger (1961:92)"			
GB315	Can diminutive meaning be expressed productively by a shift of gender/noun class?	1: present, 0: absent	0	"Andreev (1997:484); Krueger (1961:92)"			
GB316	Is singular number regularly marked in the noun phrase by a dedicated phonologically free element?	1: present, 0: absent	0	"Krueger (1961:112); Savelev (p.c. 2016)"			
GB317	Is dual number regularly marked in the noun phrase by a dedicated phonologically free element?	1: present, 0: absent	0	"Krueger (1961:112); Savelev (p.c. 2016)"			
GB318	Is plural number regularly marked in the noun phrase by a dedicated phonologically free element?	1: present, 0: absent	0	"Krueger (1961:112); Savelev (p.c. 2016)"			
GB319	Is trial number regularly marked in the noun phrase by a dedicated phonologically free element?	1: present, 0: absent	0	"Krueger (1961:112); Savelev (p.c. 2016)"			
GB320	Is paucal number regularly marked in the noun phrase by a dedicated phonologically free element?	1: present, 0: absent	0	"Krueger (1961:112); Savelev (p.c. 2016)"			
GB321	Is there a large class of nouns whose gender/noun class is not phonologically or semantically predictable?	1: present, 0: absent	0	"Andreev (1997:484); Krueger (1961:92)"			
GB322	Is there grammatical marking of direct evidence (perceived with the senses)?	1: present, 0: absent	1	Savelev (p.c. 2016)			"vəʷl kay-nə
[3SG go-EVID]
‘He went (apparently).’
vəʷl kay-rɘ
[3SG go-PST.3SG]
‘He went.’"
GB323	Is there grammatical marking of indirect evidence (hearsay, inference, etc.)?	1: present, 0: absent	?	Savelev (p.c. 2016)	not clear		
GB324	Is there an interrogative verb for content interrogatives (who?, what?, etc.)?	1: present, 0: absent	0	"Levitskaja (1976:35); Savelev (p.c. 2016)"			
GB325	Is there a count/mass distinction in interrogative quantifiers?	1: present, 0: absent	0	"Levitskaja (1976:35); Savelev (p.c. 2016)"			
GB326	Do (nominal) content interrogatives normally or frequently occur in situ?	1: present, 0: absent	1	Savelev (p.c. 2016)			
GB327	Can the relative clause follow the noun?	1: present, 0: absent	0	"Krueger (1961:151); Andreev (1997:486)"			
GB328	Can the relative clause precede the noun?	1: present, 0: absent	1	"Krueger (1961:137, 151); Andreev (1997:486)"			
GB329	Are there internally-headed relative clauses?	1: present, 0: absent	0	"Krueger (1961:151); Andreev (1997:486)"			
GB330	Are there correlative relative clauses?	1: present, 0: absent	0	"Krueger (1961:151); Andreev (1997:486)"			
GB331	Are there adjoined relative clauses?	1: present, 0: absent	0	"Krueger (1961:151); Andreev (1997:486)"			
GB333	Is there a decimal numeral system?	1: present, 0: absent	1	Savelev (p.c. 2016)			
