ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Comment
anat1259-GB410,anat1259,,ben bir kitab oku-du-m,1SG a book read-PST-1SG,I read a book.,
anat1259-GB432,anat1259,,hasan-ïn kitab-ïn,Hasan-GEN book-3SG,Hasans book,
anat1259-GB433,anat1259,,hasan-ïn kitab-ïn,Hasan-GEN book-3SG,Hasans book,
anat1259-GB522,anat1259,,(ben) ev-de yok-tu-m,(1SG) home-LOC NEG.EXIST-PST-1SG,I was not at home.,
anat1259-TE018,anat1259,,ben,1SG,I,
anat1259-TE018,anat1259,,sen,2SG,you,
anat1259-TE019,anat1259,,o,3SG.NOM,he,
anat1259-TE019,anat1259,,on-a,3SG-DAT,to him/her,
anat1259-TE027,anat1259,,biz-ler,1PL-PL,we,
anat1259-TE050,anat1259,,beš öγrenǰi,five student,five students,
anat1259-TE053,anat1259,,hasan kitab-ï ali-ye ver-di,Hasan book-ACC Ali-DAT give-PST,Hasan gave the book to Ali.,
anat1259-TE053,anat1259,,kitap masa-da,book table-LOC,The book is on the table.,
anat1259-TE054,anat1259,,bu kitab-ï kim oku-da,this book-ACC who read-PST,Who read this book?,
anat1259-TE054,anat1259,,kitab-ï hasan mï Ali-ye ver-di,book-ACC Hasan Q Ali-DAT give-PST,Did Hasan give the book to Ali?,
anat1259-TE066,anat1259,,git,go,go,
anat1259-TE066,anat1259,,git-mek,go-INF,to go,
anat1259-TS005,anat1259,,hasan-ïn kitab-ïn,Hasan-GEN book-3SG,Hasans book,
anat1259-TS006,anat1259,,hasan-ïn kitab-ïn,Hasan-GEN book-3SG,Hasans book,
anat1259-TS080,anat1259,,čoǰuγ-u,child-ACC,,
anat1259-TS080,anat1259,,göl-ü,lake-ACC,lake,
bash1264-GB035,bash1264,bїl,bїl,this,this,
bash1264-GB035,bash1264,šul,šul,that,that,
bash1264-GB046,bash1264,,γärifulla-lar,Garifulla-PL,Garifulla and his family,
bash1264-GB047,bash1264,,yaha-j,make-NMLZ,making,
bash1264-GB048,bash1264,,ḳotḳarїu-sї,save-NMLZ ,savior,
bash1264-GB048,bash1264,,uḳїu-sї ,read-NMLZ ,reader,
bash1264-GB049,bash1264,,hїðїn-tї,draw-NMLZ ,sketch,
bash1264-GB059,bash1264,,arḳa-m,back-1SG,my back,
bash1264-GB059,bash1264,,at-їm,horse-1SG,my horse,
bash1264-GB059,bash1264,,bala-m,child-1SG,my child,
bash1264-GB059,bash1264,,bala-ŋ,daughter-2SG,your child,
bash1264-GB059,bash1264,,baš-їŋ,head-2SG,your head,
bash1264-GB059,bash1264,,jöð-öm,face-1SG,my face,
bash1264-GB059,bash1264,,öj-öböð,house-1PL,our house,
bash1264-GB059,bash1264,,ul-darї,son-3PL,their son,
bash1264-GB068,bash1264,,kän jїlї,day warm,The day is warm.,
bash1264-GB068,bash1264,,šulaj ða höjkömlö-lär,so also cute-PL,But they are so cute.,
bash1264-GB069,bash1264,,elbäðäk ḳar,fluffy snow,fluffy snow,
bash1264-GB070,bash1264,,šabata-nї babaj baðar-ʀa iltep hata.,shoes-ACC old.man market-DAT bring.3SG sell.3SG,An man brings the shoes to the market and sells them.,
bash1264-GB072,bash1264,,duθ-ḳa säläm,friend-DAT greeting,a greeting to the friend,
bash1264-GB083,bash1264,,al-dї-m,take-PST.INDEF-1SG,I took (it).,
bash1264-GB083,bash1264,,al-γan-mїn,take-PST.DEF-1SG,It appears that I took (it).,
bash1264-GB095,bash1264,,ɑtajїŋ-dї bœgœn kitε tineler,father.2SG-ACC today go say.PST.3PL,They said your father is leaving today.,
bash1264-GB095,bash1264,,šabata-nї babaj baDar-ʀa iltep hata.,shoes-ACC old.man market-DAT carry.3SG sell.3SG,An man brings the shoes to the market and sells them.,
bash1264-GB107,bash1264,,min unї kyr-mä-ne-m,1SG 3SG see-NEG-PST-1SG,I didnt see him.,
bash1264-GB107,bash1264,,yaha-ma-nї-m,make-NEG-PST-1SG,I did not make it.,
bash1264-GB113,bash1264,,bo-tor,be.over-CAUS ,to finish,
bash1264-GB117,bash1264,,-dїr,3SG,he/she,and allomorphs: -dor/-der/-dör/-tїr etc. /-ðїr etc. /-lїr etc.
bash1264-GB117,bash1264,,-hїŋ,2SG,you,and allomorphs: -hoŋ/-heŋ/-höŋ
bash1264-GB117,bash1264,,-mїn,1SG,my,and allomorphs: -mon/-men/-mön
bash1264-GB119,bash1264,,bara al-ma-nї-m,go be.able-NEG-PST-1SG,I couldnt go.,
bash1264-GB137,bash1264,,min unї kyr-mä-ne-m,1SG 3SG see-NEG-PST-1SG,‘I didn’t see him.’,
bash1264-GB137,bash1264,,min unї kyr-mä-ne-m,1SG 3SG see-NEG-PST-1SG,I didnt see him.,
bash1264-GB139,bash1264,,min unї kyr-mä-ne-m,1SG 3SG see-NEG-PST-1SG,I didnt see him.,
bash1264-GB139,bash1264,,bar-ma,go-NEG,Don't go!,
bash1264-GB140,bash1264,,min jaðїusї tygel-men,1SG writer NEG-1SG,I am not a writer.,
bash1264-GB140,bash1264,,min unї kyr-mä-ne-m,1SG 3SG see-NEG-PST-1SG,I didnt see him.,
bash1264-GB147,bash1264,,al-їn,take-PASS,to be taken,
bash1264-GB152,bash1264,,yaha-γansї,,before making,
bash1264-GB160,bash1264,,að-mað,little~INT,not much,
bash1264-GB160,bash1264,,aḳhaḳ-tuḳhaḳ,,various disabled people,
bash1264-GB160,bash1264,,aγas-maγas,tree~various,various trees,
bash1264-GB160,bash1264,,iθke-moθko,trash~DIST,various trash,
bash1264-GB160,bash1264,,šau-šїu,noise,noise,
bash1264-GB187,bash1264,,tau-sїḳ,mountain-DIM,little mountain,
bash1264-GB204,bash1264,,barї,all,all,
bash1264-GB204,bash1264,,botä,all,all,
bash1264-GB204,bash1264,,häp,every,every,
bash1264-GB204,bash1264,,häp ber,,every,
bash1264-GB204,bash1264,,häp kem,,every,
bash1264-GB204,bash1264,,hεmmε,all,all,
bash1264-GB204,bash1264,,köllö,all,all,
bash1264-GB252,bash1264,,min-dä at juk,1SG-LOC horse NEG,I have no horse.,
bash1264-GB254,bash1264,,mineŋ kitab-їm bar,1SG book-1SG exist,I have a book./ There is my book./My book exists.,
bash1264-GB263,bash1264,,hin teatr-ða buldyŋmї-ni,2SG theatre-LOC ??-Q,Were you in the theatre?,
bash1264-GB266,bash1264,,aγiðel ðim-dän oðono-raḳ,Agidel Dema-ABL high-COMP,Agidel is higher than Dema.,
bash1264-GB275,bash1264,,aγiðel ðim-dän oðono-raḳ,Agidel Dema-ABL high-COMP,Agidel is higher than Dema.,
bash1264-GB298,bash1264,,min jaðїusї tügel-men,1SG writer NEG-1SG,I am not a writer.,
bash1264-GB301,bash1264,,šabir menεn Mεxmεt ɵф-gε kittelεr,Sabir with Mahmut Ufa-DAT go.PST.PL,Mahmut went together with Sabir to Ufa.,
bash1264-GB313,bash1264,,human huneke,book your,your book,
bash1264-GB313,bash1264,,mineŋ at-їm bik jakšї,1SG horse-1SG very good,My horse is very good.,
bash1264-GB325,bash1264,,nisε,,how many,
bash1264-GB325,bash1264,,nisε,,how much,
bash1264-GB409,bash1264,,atajїŋ-dї bögön kitε tineler,father.2SG-ACC today go say.PST.3PL,They said your father is leaving today.,
bash1264-GB409,bash1264,,šabata-nї babaj baðar-ʀa iltep hata,shoes-ACC old.man market-DAT carry.3SG sell.3SG,An man brings the shoes to the market and sells them.,
bash1264-GB432,bash1264,,min-en at-їm,1SG-GEN horse-1SG,my horse,
bash1264-GB433,bash1264,,min-en at-їm,1SG-GEN horse-1SG,my horse,
bash1264-TE003,bash1264,,un kön,ten day,ten days,
bash1264-TE005,bash1264,,bїl uram,this street,this street,
bash1264-TE007,bash1264,,min-en at-їm,1SG-GEN horse-1SG,my horse,
bash1264-TE008,bash1264,,ul-darї,son-3PL ,their son,
bash1264-TE031,bash1264,,taŋ,dawn,morning dawn,
bash1264-TE050,bash1264,,un kön,10 day,ten days,
bash1264-TE053,bash1264,,at-ḳa,horse-DAT,to the horse,
bash1264-TE053,bash1264,,at-ta,horse-LOC ,at the horse,
bash1264-TS001,bash1264,,un kön,ten day,ten days,
bash1264-TS003,bash1264,,bїl uram,this street,this street,
bash1264-TS005,bash1264,,min-en at-їm,1SG-GEN horse-1SG,my horse,
bash1264-TS006,bash1264,,ul-darї,son-3PL,their son,
bash1264-TS007,bash1264,,homγol eget,slim guy,slim guy,
bash1264-TS007,bash1264,,yelbäðäk qar,fluffy snow,fluffy snow,
berj1234-GB027,berj1234,,bi: ısag-la hor-ri-w omettu eńi-nun,1SG forest-LOC go-PST-1SG together mother-COM,I went to the forest with my mother.,
berj1234-GB028,berj1234,,bu:,1PL.EXCL ,we,
berj1234-GB028,berj1234,,mut,1PL.INCL,we,
berj1234-GB035,berj1234,,erek,this,this,
berj1234-GB035,berj1234,,tarak,that,that,
berj1234-GB044,berj1234,,asa-l,woman-PL,women,
berj1234-GB044,berj1234,,asi,woman,woman,
berj1234-GB059,berj1234,,bi: ası-ŋ-ı gelel-re-m,1SG wife-ALIEN miss-NONFUT-1SG,I miss my wife.,
berj1234-GB072,berj1234,,bi: berjozovka-dʊk em-ri-w,1SG Beryozovka-ABL come-PST-1SG,I came from Beryozovka.,
berj1234-GB082,berj1234,,eńin-ti alač-ı-d-da-n mut-u,mother-1PL.POSS wait-PROG-NONFUT-3SG 1PL.INCL-ACC,Mother is waiting for us.,
berj1234-GB083,berj1234,,mʊran ɔŋka-rı-n-a hajta-w,horse feed-PST-3SG-Q grass-ACC,Did the horses eat grass?,
berj1234-GB084,berj1234,,bi: hinńun hor-dži-m,1SG 2SG.COM go-FUT-1SG,I will go with you.,
berj1234-GB086,berj1234,,tińiw ʊdan-džıd-dı-n,yesterday rain-PROG-PST-3SG,It was raining yesterday.,
berj1234-GB089,berj1234,,mʊran tiba:-d-da-n,horse gallop-PROG-NONFUT-3SG,The horse runs.,
berj1234-GB091,berj1234,,bi: eńin-di kińige-w taŋ-rı-w,1SG mother-DAT book-ACC read-PST-1SG,I read a book for my mother.,
berj1234-GB105,berj1234,,tugeńi-du jakutskaj-la ho:ja ımanra,winter-DAT Yakutsk-LOC many snow,It snows heavily in Yakutsk in winter.,
berj1234-GB107,berj1234,,erew ineŋu nɔŋan e-te:-n škola-tkı hor-re,this day 3SG NEG-FUT-3SG school-DIR go-NEG,He does not go to school today.,
berj1234-GB107,berj1234,,jʊ:-tki-j ŋeb-ed-ńiken ŋi:-w-de e-č-u bak-alda-r,house-DIR-REFL go-PROG-SIM who-ACC-NEG NEG-PST-1SG find-SOC-NEG,I saw no one on the way back home.,
berj1234-GB108,berj1234,,nan gasči-na-ri-n akan-taki-n ašatka-m,and ask.for-AM-PST-3SG father-ALL-POSS.3SG girl-ACC,And he went to the girls father to ask for her (hand in marriage).,
berj1234-GB113,berj1234,,eńe min no:-wu škola-tkı hor-uken-i-n,mother my brother-ACC school-DIR go-CAUS-?-3SG,My mother made my younger brother go to school.,
berj1234-GB115,berj1234,,mut ińin-ńiken ukčen-meč-id-di-t,1PL.INCL laugh-SIM tell-RECIP-PROG-PST-1PL.INCL,We talked while laughing.,
berj1234-GB115,berj1234,,ukčen-meč-i-d-di-t,tell-RECIP-PROG-PST-1PL.INCL,We were talking to each other.,
berj1234-GB117,berj1234,,nɔŋan e-š-ni hagdı bi-s,3SG NEG-NONFUT-3SG old be-NEG,He is not an adult.,
berj1234-GB126,berj1234,,taz-ikla mo: bi-s-ńi,basin-DIR.LOC water be-NONFUT-3SG,Is there water in the washbasin?,
berj1234-GB133,berj1234,,bi: eńin-di kińige-w taŋ-rı-w,1SG mother-DAT book-ACC read-PST-1SG,I read a book for my mother.,
berj1234-GB133,berj1234,,bujusemŋe mʊrʊkam hepken-in,hunter hare.ACC catch-PST,A hunter caught a hare.,
berj1234-GB134,berj1234,,ammʊ hor-če-le-n em-ri-n eńi-mu,father-1SG go-PST.PTCP-LOC-3SG come-PST-3SG mother-1SG,Mother came after father had left.,
berj1234-GB137,berj1234,,ere-w ha:-ri omen-de hupkutti a:čča,this-ACC know-NONFUT.PTCP one-NEG student NEG,No pupil ever knows this.,
berj1234-GB140,berj1234,,bi: e-se-m studžen bi-s,1SG NEG-NONFUT-1SG student be-NEG,I am not a pupil.,
berj1234-GB140,berj1234,,bu: hun-u e-te:-ru bagʊ-r,1PL.EXCL 2PL-ACC NEG-FUT-1PL.EXCL beat-NEG,We will not beat you.,
berj1234-GB140,berj1234,,nɔŋan meŋeŋ-en a:čča,3SG money.ALIEN-3SG NEG,He has no money.,
berj1234-GB147,berj1234,,erek džʊ: gjaganʊ ɔ:-p-tı-n,this house last.year make-PASS-PST-3SG,This is a house which was built last year.,
berj1234-GB152,berj1234,,mut ińin-ńiken ukčen-meč-id-di-t,1PL.INCL laugh-SIM tell-RECIP-PROG-PST-1PL.INCL,We talked while laughing.,
berj1234-GB155,berj1234,,aki-mı hepke-mken-iw kurica-w,brother-REFL catch-CAUS-1SG chicken-ACC,I made my younger brother butcher a chicken.,
berj1234-GB185,berj1234,,erek kuŋa jasa-l-a-n,this child eye-PL-?-3SG.POSS,this childs eyes,
berj1234-GB187,berj1234,,hupkutti-ken,schoolboy-DIM,a young pupil,
berj1234-GB257,berj1234,,taz-ikla mo: bi-s-ńi,basin-DIR.LOC water be-NONFUT-3SG,Is there water in the washbasin?,
berj1234-GB263,berj1234,,ejumku-suken bi-s-ń-gʊ,cheap-EMP be-NONFUT-3SG-Q,Do you have a cheaper one?,
berj1234-GB263,berj1234,,hu: ile čeŋet-ne-dži-s nam-tkakı gʊ bırakčan-takı gʊ,2PL where fish-DIR-FUT-2PL sea-DIR Q river-DIR Q,Do you go to the river or sea to catch fishes?,
berj1234-GB266,berj1234,,erek toŋer egdže-dmer ta-dʊk toŋer-dʊk,this lake big-EMP that-ABL lake-ABL,This lake is bigger than that lake.,
berj1234-GB275,berj1234,,erek toŋer egdže-dmer ta-dʊk toŋer-dʊk,this lake big-EMP that-ABL lake-ABL,This lake is bigger than that lake.,
berj1234-GB286,berj1234,,ulre-ŋ-ur borıt-mat-tı-san-ɨ,meat-ALIEN-REFL.PL divide-RECIP-PST-2PL-Q,Did you divide the meat?,
berj1234-GB298,berj1234,,jʊ:-tki-j ŋeb-ed-ńiken ŋi:-w-de e-č-u bak-alda-r,house-DIR-REFL go-PROG-SIM who-ACC-NEG NEG-PST-1SG find-SOC-NEG,I saw no one on the way back home.,
berj1234-GB301,berj1234,,mut ası-ŋu-nun omettu dʊkʊm taŋ-ri-t,1PL wife-1SG-COM together letter-ACC read-PST-1PL,I read a letter with my wife.,
berj1234-GB304,berj1234,,mʊrʊkan hepkem-ri-n bujusemŋe-du,hare.NOM catch.PASS-PST-3SG hunter-DAT,A hare was caught by a hunter.,
berj1234-GB305,berj1234,,me:ndi,1SG,I,
berj1234-GB305,berj1234,,me:rdur,1PL,we,
berj1234-GB312,berj1234,,em-em-mińun em-de-ten ele,come-DESID-COND come-VOL-3PL here,If they want to come let them come.,
berj1234-GB313,berj1234,,min mʊran-dʊ-w,1SG.OBL horse-LOC-1SG.POSS,on my horse,
berj1234-GB313,berj1234,,mut bilek-et,1PL.INCL village-1PL.INCL.POSS,our village,
berj1234-GB325,berj1234,adı,adı,how.much,how much,
berj1234-GB327,berj1234,,bi: taŋ-ad-da-m kińige-w ti:ńiw uńi-če-j,1SG read-PROG-NONFUT-1SG book-ACC yesterday buy-PRF.PTCP-REFL,I read a book that I bought yesterday.,
berj1234-GB408,berj1234,,bi: eńin-di kińige-w taŋ-rı-w,1SG mother-DAT book-ACC read-PST-1SG,I read a book for my mother.,
berj1234-GB433,berj1234,,ʊjam-kan ulre-w-e-n,sheep meat-ACC-3SG,mutton,
berj1234-TE004,berj1234,,min-du,1SG-DAT,,
berj1234-TE004,berj1234,,nɔŋan-dʊ,3SG-DAT,to him/her,
berj1234-TE005,berj1234,,ŋi:,who,who,
berj1234-TE005,berj1234,,ŋi:ŋte,root,root,
berj1234-TE005,berj1234,,ŋin,dog,dog,
berj1234-TE031,berj1234,,ho:ntekiteŋ,different,different,
berj1234-TE031,berj1234,,ileŋ,dry,dry,
berj1234-TE050,berj1234,,džor bej,two man,two men,
berj1234-TE050,berj1234,,džor mʊra-r,two horse-PL,two horses,
berj1234-TE054,berj1234,,mʊran ɔŋka-rı-n-a hajta-w,horse feed-PST-3SG-Q grass-ACC,Did the horses eat grass?,
berj1234-TE066,berj1234,,min amarda-dʊ-w ŋen-ńi,1SG.OBL back-DAT-1SG.POSS come-IMP.2SG,Follow me!,
berj1234-TS001,berj1234,,džor mʊra-r,two horse-PL,two horses,
berj1234-TS003,berj1234,,erek kuŋa jasa-l-a-n,this child eye-PL-?-3SG.POSS,this childs eyes,
berj1234-TS005,berj1234,,min mʊran-dʊ-w,1SG.OBL horse-LOC-1SG.POSS,on my horse,
berj1234-TS006,berj1234,,min mʊran-dʊ-w,1SG.OBL horse-LOC-1SG.POSS,on my horse,
berj1234-TS007,berj1234,,ogdžem ɔŋka-w,great.ACC farm-ACC,big pasture,
bona1250-GB028,bona1250,,bεdε,we.INCL,we,
bona1250-GB028,bona1250,,mangε,we.EXCL,we,
bona1250-GB035,bona1250,,mε(r),that,that,
bona1250-GB035,bona1250,,mε(r)lε,those,those,
bona1250-GB035,bona1250,,εnε-,this,this,
bona1250-GB035,bona1250,,εnεlε ,these,these,
bona1250-GB037,bona1250,,ənə,this,this,
bona1250-GB037,bona1250,,nokə,that,that,
bona1250-GB037,bona1250,,thər,that,that out of sight,
bona1250-GB042,bona1250,,kuŋ-gə,person-SG,a person,
bona1250-GB042,bona1250,,tašεŋ-gə,stone-SG,a stone,
bona1250-GB044,bona1250,,agu=la,girl-PL,girls,
bona1250-GB044,bona1250,,bendžer-la,bird-PL,birds,
bona1250-GB044,bona1250,,səme=la=nə,god.box=PL=ACC,god boxes,
bona1250-GB046,bona1250,,aku=tsʰaŋ,girl=ASSOC,girls family,
bona1250-GB046,bona1250,,dzoma=tsʰaŋ=sa kʰoŋ=gə o kʰər-na,Droma=ASSOC=ABL person=SG.INDEF go be.required-DUR,A person from Dromas family should go.,
bona1250-GB046,bona1250,,tundaχ ənə dzoma=tsʰaŋ doχdaχap-gə-tçə,matter this Droma=ASSOC=ACC hurt-VBZ-PFV,This matter wounded Dromas family.,
bona1250-GB059,bona1250,,nokə au=nə kʰoldaku,that man=ACC shoe,that mans shoe,
bona1250-GB059,bona1250,,nokə au=nə nər,that man=ACC face,that mans face,
bona1250-GB059,bona1250,,nokə au=nə papa,that man=ACC father,that mans father,
bona1250-GB068,bona1250,,nokə mohton undər wa,that tree tall be,That tree is tall.,
bona1250-GB069,bona1250,,alma mohtun,fruit tree,fruit tree,
bona1250-GB070,bona1250,,aku-gə çatə=nə jiχ-tço,woman=SG.INDEF child=ACC hit-IPFV.OBJ,A woman hit the child.,
bona1250-GB070,bona1250,,au-gə wilə-kə-tço,man=SG.INDEF work-VBZ-IPFV.OBJ,A man is working.,
bona1250-GB072,bona1250,,atçaŋ ʀoni=nə kʰeçaŋ=ʀala jiχ-tçə ala-tçə,3SG sheep=ACC gun=INST hit-IPFV kill-PFV,He shot and killed the antelope.,
bona1250-GB072,bona1250,,nokə au silaŋ=sa ər-tçə,that man Xining=ABL come-PVF,That man came from Xining.,
bona1250-GB083,bona1250,,kεl-o,talk-PST,Talked,
bona1250-GB083,bona1250,,la:-džε,weep-PST,weeped,
bona1250-GB084,bona1250,,rε-m,come-FUT,,
bona1250-GB084,bona1250,,tani-nε,find.out-FUT,,
bona1250-GB089,bona1250,,çoŋjisa atçaŋ ələ o-tə-m,originally 3SG NEG go-IMP-NARR,he doesnt usually go.,
bona1250-GB090,bona1250,,çoŋjisa atçaŋ ələ o-tə-m,originally 3SG NEG go-IMP-NARR,he doesnt usually go.,
bona1250-GB091,bona1250,,atçaŋ mənda jiχ-tço,3SG 1SG.ACC hit-IPFV.OBJ,He hit me.,
bona1250-GB092,bona1250,,atçaŋ mənda jiχ-tço,3SG 1SG.ACC hit-IPFV.OBJ,He hit me.,
bona1250-GB093,bona1250,,atçaŋ mənda jiχ-tço,3SG 1SG.ACC hit-IPFV.OBJ,He hit me.,
bona1250-GB094,bona1250,,atçaŋ mənda jiχ-tço,3SG 1SG.ACC hit-IPFV.OBJ,He hit me.,
bona1250-GB105,bona1250,,aku-gə çatə=nə jiχ-tço,woman=SG.INDEF child=ACC hit-IPFV.OBJ,A woman hit the child.,
bona1250-GB105,bona1250,,au=gə aku=gə=da samtəχ=gə oχ-tço,boy=SG.INDEF girl=SG.INDEF=LOC gift=SG.INDEF give-IPFV.OBJ,A boy gave a gift to a girl.,
bona1250-GB113,bona1250,,ndžε-γε-,look-CAUS,let sb look,
bona1250-GB115,bona1250,,εkε-či-,hit-RECIP,hit each other,
bona1250-GB119,bona1250,,ənə=nə amaŋ=da war khər-saŋ ba-u,this=ACC mouth=LOC hold be.required-PERF.NMLZ COP2.OBJ-Q,Should (I) hold this up to (my) mouth?,
bona1250-GB126,bona1250,,dortɕə=da bəndzə=gə wa,Dorje=LOC notebook=SG.INDEF COP1.OBJ,Dorje has a notebook.,
bona1250-GB126,bona1250,,nokə mohton undər wa,that tree tall COP1.OBJ,That tree is tall.,
bona1250-GB131,bona1250,,atçaŋ mənda jiχ-tço,3SG 1SG.ACC hit-IPFV.OBJ,He hit me.,
bona1250-GB131,bona1250,,tʰər=nə χitçhu=da Kotsa datçorn=nə tçarkə-tçə-tço,that=ACC next.day=LOC school report=ACC post-PFV-IPFV.OBJ,On the next day the school posted a report.,
bona1250-GB132,bona1250,,atçaŋ mənda jiχ-tço,3SG 1SG.ACC hit-IPFV.OBJ,He hit me.,
bona1250-GB132,bona1250,,tʰər=nə χitçhu=da Kotsa datçorn=nə tçarkə-tçə-tço,that=ACC next.day=LOC school report=ACC post-PFV-IPFV.OBJ,On the next day the school posted a report.,
bona1250-GB133,bona1250,,atçaŋ mənda jiχ-tço,3SG 1SG.ACC hit-IPFV.OBJ,He hit me.,
bona1250-GB133,bona1250,,tʰər=nə χitçhu=da Kotsa datçorn=nə tçarkə-tçə-tço,that=ACC next.day=LOC school report=ACC post-PFV-IPFV.OBJ,On the next day the school posted a report.,
bona1250-GB155,bona1250,,ndžε-γε-,look-CAUS,let sb look,
bona1250-GB158,bona1250,,atɕaŋ khəl~khəl-tɕə,3SG speak~CONT-PFV,He talked and talked (for a long time).,
bona1250-GB160,bona1250,,atɕaŋ jaksa~jaksa wa,3SG pretty~INT COP1.OBJ,She is very beautiful.,
